id,title,rating,genre,age,runtime,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
765,The Kiss,R,Drama,36,medium,low,5.4,False,True,low,False,True,41.0,0,False,False,0.0,31.0,0,False,False,0.0
766,Spellbinder,R,Drama,36,medium,low,5.8,False,False,low,False,True,39.0,0,False,False,0.0,32.0,0,False,False,0.0
767,Permanent Record,PG-13,Drama,36,medium,low,6.4,False,False,low,False,True,28.0,0,False,False,0.0,27.0,0,False,False,0.0
768,Illegally Yours,PG,Comedy,36,medium,low,4.2,False,True,low,False,False,49.0,1,False,False,6.02877025,24.0,2,False,False,2.6194636705882353
769,Track 29,R,Drama,36,medium,low,5.9,False,False,low,False,True,60.0,0,False,False,0.0,31.0,0,False,False,0.0
770,Ernest Saves Christmas,PG,Comedy,36,medium,mid,5.6,False,False,high,False,True,40.0,1,False,False,6.716966285714285,39.0,1,False,False,6.716966285714285
771,Moon Over Parador,PG-13,Comedy,36,medium,low,6.0,False,False,low,False,False,58.0,4,False,False,1.8878852898351648,41.0,2,False,False,1.4706839615384615
772,Off Limits,R,Action,36,medium,low,6.2,False,False,low,False,False,40.0,0,False,False,0.0,33.0,0,False,False,0.0
773,Tapeheads,R,Comedy,36,medium,low,5.7,False,False,low,False,True,30.0,0,False,False,0.0,22.0,1,False,False,4.030118
774,Apartment Zero,R,Drama,36,long,low,7.0,False,False,low,False,True,38.0,0,False,False,0.0,32.0,0,False,False,0.0
775,The Good Mother,R,Drama,36,medium,low,5.7,False,False,low,False,False,57.0,3,False,False,8.04654554966132,42.0,2,False,False,0.7719704136363637
776,Indiana Jones and the Last Crusade,PG-13,Action,35,long,very-high,8.2,True,False,high,False,False,43.0,5,True,False,23.2548897131746,47.0,6,True,False,7.0378822555026455
777,Road House,R,Action,35,medium,high,6.6,False,False,mid,False,False,38.0,0,False,False,0.0,37.0,3,False,True,12.726675627525251
778,Batman,PG-13,Action,35,long,very-high,7.5,True,False,high,False,False,31.0,2,True,False,5.887390966666667,38.0,2,False,True,1.0756457719298245
779,Bill & Ted's Excellent Adventure,PG,Adventure,35,medium,very-high,7.0,False,False,high,False,False,31.0,1,False,False,6.583616,25.0,0,False,False,0.0
780,Dead Poets Society,PG,Comedy,35,long,very-high,8.1,True,False,high,False,False,45.0,3,True,False,2.3627845084615386,38.0,6,False,True,2.8619651596907993
781,The Little Mermaid,G,Animation,35,short,very-high,7.6,True,False,high,False,False,36.0,1,False,False,2.7589678571428573,28.0,0,False,False,0.0
782,The Abyss,PG-13,Adventure,35,long,very-high,7.5,True,False,mid,False,False,35.0,2,True,False,9.664918864864864,39.0,0,False,False,0.0
783,Back to the Future Part II,PG,Adventure,35,medium,very-high,7.8,True,False,high,False,False,37.0,3,True,False,11.156354936340852,28.0,3,True,False,9.998272963801169
