id,title,runtime,rating_cat,genre_cat,popularity_cat,budget_cat,budget_efficiency,budget_efficiency_cat,age,score,is_acclaimed,is_panned,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
2561,Soul Survivors,84.0,PG-13,Horror,low,mid,0.2528906470588235,low,23,3.9,False,True,28.0,0,False,False,0.0,27.0,0,False,False,0.0
2562,Black Knight,95.0,PG-13,Adventure,mid,high,0.7995247,low,23,4.9,False,True,47.0,1,False,False,1.7826193,36.0,4,False,True,3.459873524775641
2563,The Shipping News,111.0,R,Drama,mid,high,0.6497484473684211,low,23,6.7,False,False,55.0,4,True,False,2.90941002657197,42.0,6,True,False,3.7438903420634926
2564,The Deep End,101.0,R,Crime,mid,low,3.343843,high,23,6.6,False,False,39.0,0,False,False,0.0,41.0,1,False,False,1.344543
2565,Kissing Jessica Stein,97.0,R,Comedy,mid,low,10.0,high,23,6.5,False,False,35.0,0,False,False,0.0,31.0,0,False,False,0.0
2566,Antitrust,108.0,PG-13,Action,mid,high,0.6065203333333333,low,23,6.1,False,False,44.0,1,False,False,1.9735906666666667,27.0,2,False,False,1.4210340339366516
2567,Just Visiting,88.0,PG-13,Adventure,mid,high,0.4621923428571428,low,23,5.8,False,False,56.0,0,False,False,0.0,53.0,1,False,False,4.29312
2568,L.I.E.,97.0,Unrated,Crime,low,low,2.6372271428571428,mid,23,7.1,False,False,38.0,0,False,False,0.0,55.0,0,False,False,0.0
2569,The Wash,93.0,R,Comedy,low,low,1.461333,mid,23,4.8,False,True,32.0,0,False,False,0.0,36.0,0,False,False,0.0
2570,Bones,96.0,R,Crime,low,mid,0.5236783125,low,23,4.3,False,True,50.0,4,False,False,1.900079985945946,30.0,0,False,False,0.0
2571,Say It Isn't So,95.0,R,Comedy,mid,mid,0.49281572,low,23,5.0,False,True,35.0,0,False,False,0.0,22.0,1,False,True,0.7248765333333334
2572,Texas Rangers,90.0,PG-13,Action,low,high,0.0200984210526315,low,23,5.2,False,True,50.0,6,False,False,5.440561536321195,24.0,1,False,False,3.3933855625
2573,What's the Worst That Could Happen?,94.0,PG-13,Comedy,mid,very-high,0.64106885,low,23,5.5,False,False,54.0,2,False,False,1.7763237424242426,36.0,4,False,True,3.459873524775641
2574,Head Over Heels,86.0,PG-13,Comedy,mid,mid,0.9376444285714286,low,23,5.5,False,False,37.0,1,False,False,0.4173713333333333,30.0,0,False,False,0.0
2575,Glitter,104.0,PG-13,Drama,mid,mid,0.2396211818181818,low,23,2.3,False,True,51.0,0,False,False,0.0,32.0,0,False,False,0.0
2576,Down to Earth,87.0,PG-13,Comedy,mid,high,1.4527857551020409,mid,23,5.4,False,True,32.0,0,False,False,0.0,36.0,1,False,False,2.992296333333333
2577,Tape,86.0,R,Drama,mid,low,5.159,high,23,7.2,False,False,41.0,4,True,False,3.4851193512077296,31.0,9,True,False,1.2543766738866844
2578,See Spot Run,94.0,PG,Action,low,high,1.2302157714285715,mid,23,5.4,False,True,48.0,1,False,True,0.1977346153846154,30.0,2,False,True,2.2823526583333336
2579,Two Can Play That Game,90.0,R,Comedy,low,mid,1.7224192307692308,mid,23,6.2,False,False,21.0,0,False,False,0.0,37.0,0,False,False,0.0
2580,Impostor,95.0,PG-13,Drama,mid,high,0.2898106666666666,low,23,6.2,False,False,36.0,2,False,False,1.1587269656084658,31.0,0,False,False,0.0
2581,Metropolis,108.0,PG-13,Animation,mid,mid,0.2690128,low,23,7.2,False,False,60.0,0,False,False,0.0,55.0,0,False,False,0.0
2582,The Affair of the Necklace,118.0,R,Drama,low,high,0.0399371,low,23,6.1,False,False,60.0,3,False,True,1.7689179962962964,27.0,1,True,False,5.7703035
2583,Lovely & Amazing,91.0,R,Comedy,low,low,10.0,high,23,6.8,False,False,41.0,0,False,False,0.0,42.0,0,False,False,0.0
2584,Corky Romano,86.0,PG-13,Comedy,mid,mid,2.297522909090909,mid,23,4.7,False,True,38.0,0,False,False,0.0,31.0,1,False,False,1.7841861764705882
2585,Recess: School's Out,82.0,G,Animation,low,mid,1.9330804347826087,mid,23,6.6,False,False,41.0,0,False,False,0.0,13.0,0,False,False,0.0
2586,The Other Side of Heaven,113.0,PG,Adventure,low,low,0.680002,low,23,6.4,False,False,41.0,0,False,False,0.0,27.0,0,False,False,0.0
2587,The Grey Zone,108.0,R,Drama,mid,low,0.1243184,low,23,7.0,False,False,37.0,0,False,False,0.0,30.0,2,False,True,2.2823526583333336
2588,Novocaine,95.0,R,Comedy,mid,low,0.3167965,low,23,5.8,False,False,46.0,0,False,False,0.0,56.0,13,True,True,2.0058764769840414
2589,Charlotte Gray,121.0,PG-13,Drama,mid,mid,0.26615545,low,23,6.4,False,False,51.0,2,False,False,1.5905439191919193,32.0,2,True,False,3.597557666666667
2590,The Curse of the Jade Scorpion,103.0,PG-13,Comedy,mid,high,0.5731608181818182,low,23,6.7,False,False,66.0,20,True,False,0.9106296624426192,36.0,0,False,False,0.0
2591,Spider-Man,121.0,PG-13,Action,very-high,very-high,5.935431913669064,high,22,7.3,False,False,43.0,9,True,False,2.3101329859718214,27.0,3,True,False,1.5120609730994152
2592,The Sum of All Fears,124.0,PG-13,Action,very-high,very-high,2.8517848823529413,mid,22,6.4,False,False,52.0,2,False,False,2.3590516242236026,30.0,6,False,False,3.297682301190477
2593,8 Mile,110.0,R,Drama,very-high,high,5.923782390243902,high,22,7.1,False,False,57.0,7,True,True,2.476690326575509,30.0,0,False,False,0.0
2594,The Pianist,150.0,R,Biography,very-high,high,3.4306450571428573,high,22,8.5,True,False,69.0,5,False,False,0.6182078355263159,29.0,0,False,False,0.0
2595,Harry Potter and the Chamber of Secrets,161.0,PG,Adventure,very-high,very-high,8.79602366,high,22,7.4,True,False,44.0,8,True,False,5.932222911068681,13.0,1,True,False,8.055745368
2596,The Lord of the Rings: The Two Towers,179.0,PG-13,Action,very-high,very-high,10.0,high,22,8.7,True,False,41.0,4,True,False,2.8304808215053763,21.0,3,True,True,4.51346510837469
2597,Road to Perdition,117.0,R,Crime,very-high,very-high,2.262518475,mid,22,7.7,True,False,37.0,1,True,False,10.0,46.0,21,True,False,5.535840506812967
2598,Resident Evil,100.0,R,Action,very-high,high,3.120753393939394,high,22,6.7,False,False,37.0,3,False,False,2.4921543796296297,27.0,1,False,False,0.7879566705882353
2599,Catch Me If You Can,141.0,PG-13,Biography,very-high,high,6.771429076923077,high,22,8.1,True,False,56.0,14,True,False,6.622924445768192,28.0,6,True,False,4.892092791547619
2600,28 Days Later...,113.0,R,Drama,very-high,low,10.0,high,22,7.6,True,False,46.0,3,False,False,1.3589528533333333,26.0,0,False,False,0.0
2601,The Ring,115.0,PG-13,Horror,very-high,high,5.1947694375,high,22,7.1,False,False,38.0,2,False,False,2.9076413728070176,34.0,1,True,False,1.3509097333333333
2602,Signs,106.0,PG-13,Drama,very-high,very-high,5.670109958333334,high,22,6.7,False,False,32.0,3,True,False,4.451756926666667,46.0,21,True,False,3.89704508545778
2603,The Bourne Identity,119.0,PG-13,Action,very-high,very-high,3.567237066666667,high,22,7.9,True,False,37.0,2,False,False,5.71129055,28.0,0,False,False,0.0
2604,Star Wars: Episode II - Attack of the Clones,142.0,PG,Action,very-high,very-high,5.685043217391304,high,22,6.5,False,False,58.0,1,False,False,8.931153973913043,21.0,1,True,False,0.8853255925925926
2605,Secretary,107.0,R,Comedy,high,low,2.32615225,mid,22,7.0,False,False,39.0,0,False,False,0.0,42.0,4,False,True,3.0092902166666664
2606,Scooby-Doo,86.0,PG,Adventure,very-high,very-high,3.281555988095238,high,22,5.1,False,True,44.0,3,False,True,3.8841952423611112,32.0,0,False,False,0.0
2607,Reign of Fire,101.0,PG-13,Action,very-high,very-high,1.3691697166666668,mid,22,6.2,False,False,42.0,2,False,False,1.9812822196969695,33.0,4,True,False,1.6733584172155018
2608,Minority Report,145.0,PG-13,Action,very-high,very-high,3.5134600588235294,high,22,7.6,True,False,56.0,14,True,False,6.622924445768192,40.0,17,True,True,4.830520433185806
2609,Austin Powers in Goldmember,94.0,PG-13,Action,very-high,very-high,4.713314301587301,high,22,6.2,False,False,45.0,4,False,False,4.970687468344156,39.0,6,True,False,5.437849634217172
2610,Red Dragon,124.0,R,Crime,very-high,very-high,2.6820038205128207,mid,22,7.2,False,False,33.0,4,False,False,3.822588638156566,65.0,9,True,False,1.1481700119983764
2611,Gangs of New York,167.0,R,Crime,very-high,very-high,1.93772504,mid,22,7.5,True,False,60.0,11,True,False,1.7834041879841678,28.0,6,True,False,4.892092791547619
2612,The Importance of Being Earnest,97.0,PG,Comedy,mid,mid,1.2006416666666666,mid,22,6.8,False,False,42.0,2,False,False,0.791539025974026,43.0,2,False,False,0.6939973214285715
2613,Sweet Home Alabama,108.0,PG-13,Comedy,very-high,high,6.020747466666666,high,22,6.2,False,False,47.0,3,False,False,2.1608724112040134,26.0,2,False,False,3.987434361111111
2614,The Count of Monte Cristo,131.0,PG-13,Action,very-high,high,2.1541442285714285,mid,22,7.7,True,False,50.0,6,False,False,1.6633231321428574,34.0,1,True,False,1.887049326923077
2615,Adaptation.,115.0,R,Comedy,very-high,mid,1.7263775263157894,mid,22,7.7,True,False,33.0,1,True,False,1.777435923076923,38.0,16,True,True,2.8177724178064487
2616,Unfaithful,124.0,R,Drama,high,high,2.38275568,mid,22,6.7,False,False,61.0,6,True,False,4.745737083283731,53.0,16,True,True,2.438559063960096
2617,Ice Age,81.0,PG,Animation,very-high,high,6.495883661016949,high,22,7.5,True,False,45.0,0,False,False,0.0,45.0,1,False,False,1.0399266363636364
2618,Panic Room,112.0,R,Crime,very-high,high,4.105823875,high,22,6.8,False,False,40.0,4,True,False,4.227616220981242,40.0,6,True,False,3.362030721884402
2619,Insomnia,118.0,R,Drama,very-high,high,2.473016739130435,mid,22,7.2,False,False,32.0,2,True,False,6.265004333333334,62.0,13,True,True,2.30312870134047
2620,Men in Black II,88.0,PG-13,Action,very-high,very-high,3.1795377714285715,high,22,6.2,False,False,49.0,6,False,True,3.242680237196289,56.0,5,False,False,2.1957594200000004
2621,Lilo & Stitch,92.0,PG,Animation,very-high,very-high,3.4143018875,high,22,7.3,False,False,32.0,0,False,False,0.0,12.0,1,True,False,10.0
2622,Chicago,113.0,PG-13,Comedy,very-high,high,6.817260711111111,high,22,7.2,False,False,42.0,0,False,False,0.0,33.0,3,False,True,3.716276561904762
2623,A Walk to Remember,101.0,PG,Drama,very-high,mid,4.024992881355932,high,22,7.3,False,False,38.0,1,False,True,2.7065294,18.0,0,False,False,0.0
2624,Treasure Planet,95.0,PG,Animation,very-high,very-high,0.7860097357142857,low,22,7.2,False,False,49.0,4,True,False,5.2539095933298325,21.0,0,False,False,0.0
2625,My Big Fat Greek Wedding,95.0,PG,Comedy,very-high,low,10.0,high,22,6.6,False,False,60.0,0,False,False,0.0,40.0,0,False,False,0.0
2626,We Were Soldiers,138.0,R,Action,very-high,very-high,1.5383322,mid,22,7.2,False,False,53.0,1,False,False,5.227682914285714,46.0,21,True,False,3.89704508545778
2627,The Sweetest Thing,84.0,R,Comedy,high,high,1.6120796744186046,mid,22,5.2,False,True,36.0,1,False,False,7.271183428571429,30.0,3,False,False,4.401246023297492
2628,xXx,124.0,PG-13,Action,very-high,very-high,3.963548314285714,high,22,5.9,False,False,53.0,5,False,False,3.091196742926065,35.0,1,False,False,5.455408131578947
2629,Equilibrium,107.0,R,Action,very-high,mid,0.26841085,low,22,7.4,True,False,38.0,0,False,False,0.0,28.0,3,True,False,1.90619346984127
2630,The Scorpion King,92.0,PG-13,Action,very-high,very-high,3.010515116666667,high,22,5.5,False,False,44.0,5,False,True,4.686661474067476,30.0,0,False,False,0.0
2631,Punch-Drunk Love,95.0,R,Comedy,very-high,mid,0.98702856,low,22,7.3,False,False,32.0,3,True,False,1.4190447075075074,36.0,6,False,True,4.761826218712828
2632,Die Another Day,133.0,PG-13,Action,very-high,very-high,3.042050112676056,high,22,6.1,False,False,52.0,3,False,False,1.198056946551724,49.0,6,False,False,2.8394209344333103
2633,The Time Machine,96.0,PG-13,Action,very-high,very-high,1.5466147,mid,22,6.0,False,False,41.0,0,False,False,0.0,35.0,2,True,False,2.3107712083333336
2634,The Transporter,92.0,PG-13,Action,very-high,mid,2.091853904761905,mid,22,6.8,False,False,29.0,0,False,False,0.0,35.0,0,False,False,0.0
2635,Blue Crush,104.0,PG-13,Drama,mid,mid,2.07374716,mid,22,5.7,False,False,41.0,1,False,False,1.5336913846153846,19.0,0,False,False,0.0
2636,Ghost Ship,91.0,R,Horror,high,mid,3.4174942,high,22,5.5,False,False,42.0,1,False,False,1.630189523809524,36.0,0,False,False,0.0
2637,Van Wilder,92.0,R,Comedy,very-high,low,7.6550966,high,22,6.4,False,False,34.0,0,False,False,0.0,26.0,0,False,False,0.0
2638,Maid in Manhattan,105.0,PG-13,Comedy,high,high,2.8164853272727277,mid,22,5.3,False,True,53.0,4,True,True,1.3260705272444948,33.0,4,False,True,2.0468821444968555
2639,Spirit: Stallion of the Cimarron,83.0,G,Animation,high,very-high,1.5320442375,mid,22,7.2,False,False,42.0,0,False,False,0.0,32.0,5,True,False,1.4170935289122808
2640,Blade II,117.0,R,Action,very-high,high,2.870556148148148,mid,22,6.7,False,False,38.0,3,True,False,0.874245737037037,40.0,11,False,True,1.8607958703144891
2641,Frida,123.0,R,Biography,high,mid,4.6915395,high,22,7.4,True,False,50.0,0,False,False,0.0,36.0,0,False,False,0.0
2642,Phone Booth,81.0,R,Crime,very-high,mid,7.525933692307692,high,22,7.0,False,False,63.0,13,True,True,2.344952194548981,26.0,2,False,False,0.2028480928571428
2643,About a Boy,101.0,PG-13,Comedy,very-high,high,4.3516485,high,22,7.1,False,False,33.0,1,False,True,1.4527857551020409,42.0,7,False,False,2.9354880893317508
2644,Confessions of a Dangerous Mind,113.0,R,Biography,high,high,1.100460166666667,mid,22,7.0,False,False,41.0,0,False,False,0.0,34.0,1,True,False,0.0133005
2645,Kung Pow: Enter the Fist,81.0,PG-13,Action,mid,mid,1.6994625,mid,22,6.2,False,False,41.0,2,False,False,4.429359663333334,41.0,0,False,False,0.0
2646,Hero,120.0,PG-13,Action,very-high,high,5.722437322580645,high,22,7.9,True,False,51.0,0,False,False,0.0,39.0,3,False,False,2.576434834829932
2647,Star Trek: Nemesis,116.0,PG-13,Action,high,very-high,1.1222745,mid,22,6.4,False,False,55.0,2,False,False,1.961872762878788,62.0,4,True,False,3.1277212789928845
2648,Eight Legged Freaks,99.0,PG-13,Action,high,high,1.5289111,mid,22,5.4,False,True,32.0,0,False,False,0.0,31.0,4,False,True,1.4798098720238095
2649,Queen of the Damned,101.0,R,Drama,high,high,1.2994031428571429,mid,22,5.3,False,True,39.0,1,False,False,2.001636285714285,23.0,0,False,False,0.0
2650,Femme Fatale,114.0,R,Crime,mid,high,0.4811117142857143,low,22,6.2,False,False,62.0,13,True,False,2.110480529625439,30.0,0,False,False,0.0
2651,The Hours,110.0,PG-13,Drama,very-high,mid,4.35384288,high,22,7.5,True,False,42.0,1,True,False,10.0,53.0,13,True,False,1.8901897258026967
2652,40 Days and 40 Nights,96.0,R,Comedy,high,mid,5.596840176470589,high,22,5.6,False,False,45.0,3,False,False,0.2500125350427351,24.0,1,True,False,1.8803222934782609
2653,One Hour Photo,96.0,R,Drama,very-high,mid,4.351942166666666,high,22,6.8,False,False,43.0,0,False,False,0.0,51.0,20,True,True,3.275910281893965
2654,Cabin Fever,93.0,R,Horror,high,low,10.0,high,22,5.6,False,False,30.0,0,False,False,0.0,27.0,0,False,False,0.0
2655,The New Guy,88.0,PG-13,Comedy,mid,mid,2.3974913846153845,mid,22,5.9,False,False,43.0,0,False,False,0.0,24.0,0,False,False,0.0
2656,Orange County,82.0,PG-13,Comedy,mid,mid,2.4069449444444446,mid,22,6.2,False,False,28.0,1,False,False,0.4174942,25.0,0,False,False,0.0
2657,Mr. Deeds,96.0,PG-13,Comedy,very-high,high,3.4253907,high,22,5.8,False,False,40.0,1,False,True,0.6857917058823529,36.0,6,False,True,4.761826218712828
2658,John Q,116.0,PG-13,Crime,very-high,high,2.8401325,mid,22,7.1,False,False,43.0,1,False,False,0.404525,48.0,13,True,False,1.6189675376654704
2659,Crossroads,93.0,PG-13,Comedy,mid,mid,5.095085833333333,high,22,3.6,False,True,40.0,4,False,False,1.9917043083333332,21.0,0,False,False,0.0
2660,25th Hour,135.0,R,Drama,very-high,low,4.786411,high,22,7.6,True,False,45.0,12,True,True,2.339994868982961,33.0,1,True,False,1.19375635
2661,Infernal Affairs,101.0,R,Action,very-high,low,1.3745535440691397,mid,22,8.0,True,False,42.0,0,False,False,0.0,41.0,0,False,False,0.0
2662,Solaris,99.0,PG-13,Drama,high,high,0.6383565531914893,low,22,6.2,False,False,39.0,10,True,False,2.687921729699541,41.0,6,True,False,2.613411094365618
2663,Like Mike,99.0,PG,Comedy,mid,high,2.075826,mid,22,5.3,False,True,73.0,1,False,False,2.6580481176470587,15.0,0,False,False,0.0
2664,The Rules of Attraction,110.0,R,Comedy,high,low,2.9582055,mid,22,6.6,False,False,37.0,1,False,False,0.2793073333333333,25.0,2,False,True,1.7067419917763156
2665,I Spy,97.0,PG-13,Action,high,very-high,0.7340925285714286,low,22,5.4,False,True,55.0,4,False,True,2.7296586228021007,41.0,18,True,True,3.6392705678991786
2666,The Mothman Prophecies,119.0,PG-13,Drama,high,high,1.72828996875,mid,22,6.4,False,False,40.0,1,False,False,1.3247519677419357,53.0,16,True,True,2.438559063960096
2667,Antwone Fisher,120.0,PG-13,Biography,mid,mid,1.86940688,mid,22,7.3,False,False,48.0,0,False,False,0.0,48.0,13,True,False,1.6189675376654704
2668,The Good Girl,93.0,R,Drama,mid,low,2.1076205,mid,22,6.4,False,False,37.0,1,False,False,4.72826,33.0,2,False,False,3.780130383333333
2669,Spun,101.0,Unrated,Comedy,mid,low,0.342804,low,22,6.8,False,False,37.0,0,False,False,0.0,22.0,1,True,False,1.910678111111111
2670,Sympathy for Mr. Vengeance,129.0,R,Crime,high,low,0.51151525,low,22,7.6,True,False,39.0,0,False,False,0.0,35.0,0,False,False,0.0
2671,Enough,115.0,PG-13,Crime,mid,high,1.3633206315789477,mid,22,5.8,False,False,61.0,9,False,True,1.8427025818747809,33.0,4,False,True,2.0468821444968555
2672,High Crimes,115.0,PG-13,Crime,mid,high,1.518614523809524,mid,22,6.4,False,False,53.0,2,False,False,0.7425181111111111,34.0,1,True,False,1.887049326923077
