id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
4505,42,11,PG-13,Biography,128.0,89000.0,7.5,40000000.0,2.436767525,52.0,3,False,True,1.302525703448793,37.0,0,False,False,0.0
4506,The Last Stand,11,R,Action,107.0,135000.0,6.3,45000000.0,1.0740168222222222,49.0,1,False,False,4.4261209,26.0,23,True,True,3.539496809047096
4507,Filth,11,R,Comedy,97.0,104000.0,7.1,5000000.0,1.6834496,41.0,0,False,False,0.0,37.0,3,True,False,5.231625659722222
4508,The Grand Seduction,11,PG-13,Comedy,113.0,16000.0,7.0,12700000.0,0.3379934645669291,50.0,0,False,False,0.0,66.0,1,False,False,1.623652
4509,Saving Mr. Banks,11,PG-13,Biography,125.0,155000.0,7.5,35000000.0,3.3676566857142856,57.0,3,True,False,4.6363986973945055,34.0,3,True,False,5.335604507619048
4510,The Book Thief,11,PG-13,Drama,131.0,130000.0,7.5,19000000.0,4.030858736842105,51.0,0,False,False,0.0,32.0,0,False,False,0.0
4511,The Hangover Part III,11,R,Comedy,100.0,299000.0,5.8,103000000.0,3.514563805825243,43.0,6,True,False,5.757636979540599,54.0,4,True,False,6.4968346846064815
4512,Lovelace,11,R,Biography,93.0,39000.0,6.2,10000000.0,0.1585583,58.0,0,False,False,0.0,13.0,2,False,False,2.4016754523809523
4513,The Bling Ring,11,R,Biography,90.0,85000.0,5.6,8000000.0,2.505697,42.0,4,True,False,3.6980661058531754,38.0,0,False,False,0.0
4514,The Family,11,R,Comedy,111.0,113000.0,6.3,30000000.0,2.613960366666667,54.0,3,True,False,1.6295546623474495,28.0,31,True,True,1.3743032616464417
4515,The Wind Rises,11,PG-13,Animation,126.0,77000.0,7.8,30000000.0,4.551108566666667,72.0,5,True,False,8.572018750688922,18.0,0,False,False,0.0
4516,Life of Crime,11,R,Comedy,98.0,18000.0,5.8,12000000.0,0.1213895833333333,40.0,0,False,False,0.0,70.0,9,False,False,2.8596693429638917
4517,Beautiful Creatures,11,PG-13,Drama,124.0,85000.0,6.1,60000000.0,1.0008689666666666,54.0,2,True,False,3.639997911904762,53.0,0,False,False,0.0
4518,Joe,11,R,Crime,117.0,46000.0,6.9,4000000.0,0.60786075,38.0,4,False,False,1.4887406122459734,44.0,36,True,True,2.1455765455663944
4519,Delivery Man,11,PG-13,Comedy,105.0,76000.0,6.4,26000000.0,2.0430902307692307,43.0,0,False,False,0.0,19.0,6,False,True,2.6908298963492068
4520,Grudge Match,11,PG-13,Comedy,113.0,59000.0,6.4,40000000.0,1.1226815,51.0,7,False,True,2.171128039600933,49.0,31,True,True,1.3743032616464417
4521,Planes,11,PG,Animation,91.0,43000.0,5.7,50000000.0,4.78517424,55.0,0,False,False,0.0,43.0,0,False,False,0.0
4522,Cloudy with a Chance of Meatballs 2,11,PG,Animation,95.0,94000.0,6.4,78000000.0,3.5169993461538462,43.0,0,False,False,0.0,70.0,0,False,False,0.0
4523,Jack the Giant Slayer,11,PG-13,Adventure,114.0,134000.0,6.2,175000000.0,1.1296434457142857,48.0,6,True,False,2.850505351688312,51.0,0,False,False,0.0
4524,Blue Ruin,11,R,Crime,90.0,69000.0,7.1,420000.0,2.3650309523809523,37.0,0,False,False,0.0,35.0,0,False,False,0.0
4525,Epic,11,PG,Animation,102.0,101000.0,6.7,100000000.0,2.68426634,56.0,2,True,False,4.998018430508474,24.0,2,False,False,2.4016754523809523
4526,Dark Skies,11,PG-13,Horror,97.0,73000.0,6.3,3500000.0,7.959458,48.0,2,False,True,1.958707246794872,39.0,1,False,False,10.0
4527,Nebraska,11,R,Adventure,115.0,114000.0,7.7,12000000.0,2.306906,52.0,5,True,False,3.987555988833333,28.0,0,False,False,0.0
4528,Labor Day,11,PG-13,Drama,111.0,44000.0,6.9,18000000.0,1.126434,36.0,4,True,False,6.158747901217948,37.0,4,True,False,1.6250764972709275
4529,Trance,11,R,Crime,101.0,111000.0,6.9,20000000.0,1.21307845,57.0,6,True,False,4.575206028518518,77.0,3,True,False,5.231625659722222
4530,Broken City,11,R,Action,109.0,78000.0,6.2,35000000.0,0.9924914,41.0,0,False,False,0.0,38.0,13,True,True,2.9957166642426145
4531,The Zero Theorem,11,R,Comedy,107.0,46000.0,6.1,8500000.0,0.1748830588235294,73.0,9,True,False,2.304635028147628,34.0,0,False,False,0.0
4532,All Is Lost,11,PG-13,Action,106.0,78000.0,6.9,9000000.0,1.5141687777777777,40.0,1,False,False,5.572582571428572,42.0,11,True,False,3.310848304663834
4533,Anna,11,R,Drama,99.0,22000.0,6.5,7000000.0,0.1795917142857143,37.0,0,False,False,0.0,57.0,0,False,False,0.0
4534,Third Person,11,R,Drama,137.0,27000.0,6.3,28000000.0,0.0937414642857142,60.0,2,True,False,6.124144183333334,77.0,13,True,True,3.527826341075313
4535,The Grandmaster,11,PG-13,Action,130.0,32000.0,6.6,38600000.0,1.914682279792746,57.0,3,True,False,1.341349981746032,50.0,2,True,False,3.0783037083333333
4536,The Incredible Burt Wonderstone,11,PG-13,Comedy,100.0,71000.0,5.9,30000000.0,0.9145960333333332,64.0,0,False,False,0.0,61.0,10,True,True,3.940923229838412
4537,The Big Wedding,11,R,Comedy,89.0,48000.0,5.6,35000000.0,1.3292039142857144,33.0,0,False,False,0.0,51.0,31,True,True,1.3743032616464417
4538,Snitch,11,PG-13,Action,112.0,85000.0,6.4,15000000.0,3.8549782666666665,45.0,0,False,False,0.0,51.0,10,False,True,2.030721778865393
4539,The Smurfs 2,11,PG,Animation,105.0,39000.0,5.3,105000000.0,3.3099558095238097,55.0,8,False,True,3.9254627494194176,70.0,0,False,False,0.0
4540,Last Vegas,11,PG-13,Comedy,105.0,130000.0,6.6,28000000.0,4.800322321428571,50.0,9,False,True,4.419912349330485,41.0,31,True,True,1.3743032616464417
4541,Fruitvale Station,11,R,Biography,85.0,78000.0,7.5,900000.0,10.0,27.0,0,False,False,0.0,40.0,0,False,False,0.0
4542,Bad Grandpa,11,R,Comedy,92.0,90000.0,6.5,15000000.0,10.0,47.0,0,False,False,0.0,70.0,0,False,False,0.0
4543,Philomena,11,PG-13,Biography,98.0,96000.0,7.6,12000000.0,8.344156,72.0,7,True,True,0.9475512309489006,26.0,3,False,True,4.752839763636364
4544,The Canyons,11,R,Drama,99.0,11000.0,3.8,250000.0,1.08074,67.0,7,True,True,0.986023520521542,42.0,5,False,True,2.984576557137255
4545,Jobs,11,PG-13,Biography,128.0,95000.0,6.0,12000000.0,3.510696,52.0,0,False,False,0.0,79.0,7,True,True,3.8224848815413344
4546,The Immigrant,11,R,Drama,120.0,31000.0,6.6,16000000.0,0.37205525,44.0,4,False,False,1.1998164628438333,27.0,1,True,False,3.45099172
