id,title,rating,genre,runtime,age,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
4292,Resident Evil: Retribution,R,Action,medium,12,very-high,5.4,False,True,high,False,False,47.0,8,False,False,2.7513754163257573,19.0,8,False,True,2.814593568185001
4293,Men in Black 3,PG-13,Action,medium,12,very-high,6.8,False,False,mid,True,False,59.0,9,False,True,2.7331699894007,27.0,15,True,True,3.700118858887053
4294,Journey 2: The Mysterious Island,PG,Action,medium,12,high,5.8,False,False,high,False,False,34.0,0,False,False,0.0,37.0,2,False,False,4.547286815837104
4295,Seven Psychopaths,R,Comedy,medium,12,very-high,7.2,False,False,mid,False,False,42.0,1,True,False,2.2723832666666666,44.0,9,True,False,1.6247335897934947
4296,Rock of Ages,PG-13,Comedy,long,12,high,5.9,False,False,low,False,False,48.0,7,False,True,3.2592343444484975,20.0,0,False,False,0.0
4297,The Dictator,R,Comedy,short,12,very-high,6.4,False,False,mid,False,False,56.0,2,False,False,6.652450369047619,36.0,2,False,False,6.652450369047619
4298,The Watch,R,Comedy,medium,12,very-high,5.7,False,False,mid,False,False,35.0,0,False,False,0.0,24.0,18,False,True,3.0866902328861148
4299,The Expendables 2,R,Action,medium,12,very-high,6.6,False,False,high,False,False,51.0,5,False,True,2.66509321620061,41.0,27,True,True,2.9092575302910832
4300,Safety Not Guaranteed,R,Comedy,short,12,very-high,7.0,False,False,high,False,True,36.0,0,False,False,0.0,47.0,0,False,False,0.0
4301,Chronicle,PG-13,Adventure,short,12,very-high,7.0,False,False,high,False,False,28.0,0,False,False,0.0,66.0,0,False,False,0.0
4302,Red Dawn,PG-13,Action,medium,12,high,5.4,False,True,low,False,False,45.0,0,False,False,0.0,28.0,1,False,False,2.995510786666667
4303,End of Watch,R,Action,medium,12,very-high,7.6,True,False,high,False,True,44.0,2,False,False,3.154336075,26.0,11,True,False,2.4955976233925794
4304,Wrath of the Titans,PG-13,Action,medium,12,very-high,5.7,False,False,mid,True,False,36.0,3,False,True,3.526135260930736,29.0,2,True,False,6.972859972
4305,Mud,PG-13,Drama,long,12,very-high,7.4,True,False,high,False,False,34.0,1,True,False,0.7482196,32.0,14,True,True,1.4317122342853008
4306,The Lorax,PG,Animation,short,12,very-high,6.4,False,False,high,False,False,46.0,0,False,False,0.0,36.0,3,False,True,5.970362424242424
4307,Man on a Ledge,PG-13,Action,medium,12,very-high,6.6,False,False,mid,False,False,42.0,0,False,False,0.0,43.0,2,True,False,6.972859972
4308,Diary of a Wimpy Kid: Dog Days,PG,Animation,medium,12,mid,6.3,False,False,high,False,False,42.0,3,False,False,1.7546109704321033,25.0,2,False,False,4.266717838095238
4309,The Lucky One,PG-13,Drama,medium,12,very-high,6.5,False,False,high,False,False,59.0,4,True,False,2.8771070238898195,36.0,3,False,True,5.970362424242424
4310,Rise of the Guardians,PG,Animation,medium,12,very-high,7.3,False,False,mid,True,False,50.0,0,False,False,0.0,14.0,6,False,False,1.57862002997643
4311,The Iceman,R,Biography,medium,12,high,6.8,False,False,low,False,False,39.0,0,False,False,0.0,25.0,1,True,False,0.7482196
4312,Maniac,Unrated,Horror,short,12,mid,6.1,False,False,low,False,True,44.0,1,False,False,0.97078,44.0,9,True,True,4.521314467177218
4313,Madagascar 3: Europe's Most Wanted,PG,Animation,medium,12,very-high,6.8,False,False,high,True,False,51.0,3,False,False,4.296436492698413,38.0,18,False,True,3.0866902328861148
4314,The Five-Year Engagement,R,Comedy,long,12,high,6.2,False,False,mid,False,False,36.0,2,False,False,2.9103908041666666,31.0,0,False,False,0.0
4315,House at the End of the Street,PG-13,Drama,medium,12,high,5.6,False,False,high,False,False,38.0,0,False,False,0.0,47.0,1,False,False,6.898417
4316,The Sessions,R,Biography,medium,12,mid,7.2,False,False,high,False,True,66.0,0,False,False,0.0,32.0,1,False,False,10.0
4317,The Woman in Black,PG-13,Drama,medium,12,very-high,6.4,False,False,high,False,False,34.0,0,False,False,0.0,22.0,7,True,False,6.997448652336996
4318,The Three Stooges,PG,Comedy,medium,12,mid,5.1,False,True,mid,False,False,54.0,9,False,False,2.777540410138421,53.0,0,False,False,0.0
4319,Think Like a Man,PG-13,Comedy,long,12,mid,6.5,False,False,high,False,False,42.0,4,False,True,3.7324904566666666,23.0,1,False,False,2.5064181875
4320,The Vow,PG-13,Drama,medium,12,very-high,6.8,False,False,high,False,False,39.0,0,False,False,0.0,42.0,2,False,False,2.60163145
4321,Taken 2,PG-13,Action,medium,12,very-high,6.3,False,False,high,False,False,47.0,2,False,False,2.7101813166666666,23.0,12,True,True,3.125233249127886
4322,Compliance,R,Crime,medium,12,mid,6.4,False,False,mid,False,True,37.0,0,False,False,0.0,34.0,0,False,False,0.0
4323,The Company You Keep,R,Drama,long,12,mid,6.4,False,False,high,False,True,76.0,8,True,False,2.5327210950242196,60.0,10,True,False,2.641933135130217
4324,Hit and Run,R,Action,medium,12,mid,6.1,False,False,high,False,True,28.0,0,False,False,0.0,56.0,0,False,False,0.0
4325,Act of Valor,R,Action,medium,12,high,6.5,False,False,high,False,False,43.0,0,False,False,0.0,76.0,0,False,False,0.0
4326,Passion,R,Adventure,medium,12,mid,5.3,False,True,low,False,False,72.0,16,True,False,1.8163083274635259,37.0,2,False,False,2.60163145
4327,On the Road,R,Adventure,long,12,mid,6.1,False,False,low,False,False,56.0,2,True,False,2.1687799948275863,50.0,0,False,False,0.0
4328,Bullet to the Head,R,Action,medium,12,mid,5.7,False,False,low,False,False,70.0,14,False,True,1.4495369145239143,34.0,27,True,True,2.9092575302910832
4329,LOL,PG-13,Comedy,medium,12,high,4.4,False,True,low,False,False,47.0,0,False,False,0.0,32.0,2,False,True,4.820847491666667
4330,The First Time,PG-13,Comedy,medium,12,high,6.8,False,False,low,False,True,33.0,1,False,False,1.7562071,66.0,0,False,False,0.0
4331,Ice Age: Continental Drift,PG,Animation,short,12,very-high,6.5,False,False,high,False,False,53.0,0,False,False,0.0,20.0,3,False,False,6.06818984366097
4332,No One Lives,R,Horror,short,12,mid,6.0,False,False,low,False,True,43.0,1,False,False,0.23562086666666668,21.0,0,False,False,0.0
4333,Mirror Mirror,PG,Adventure,medium,12,high,5.6,False,False,mid,False,False,51.0,3,True,False,2.1013133533333335,55.0,0,False,False,0.0
4334,About Cherry,R,Drama,medium,12,mid,4.8,False,True,low,False,True,41.0,0,False,False,0.0,33.0,0,False,False,0.0
4335,Hitchcock,PG-13,Biography,medium,12,high,6.8,False,False,mid,False,False,46.0,0,False,False,0.0,23.0,15,True,False,1.2383545566531273
4336,The Lords of Salem,R,Horror,medium,12,mid,5.2,False,True,mid,False,True,47.0,4,False,True,3.345590392857143,24.0,0,False,False,0.0
4337,Step Up Revolution,PG-13,Drama,medium,12,high,6.4,False,False,high,False,False,30.0,0,False,False,0.0,75.0,0,False,False,0.0
4338,Ruby Sparks,R,Comedy,medium,12,high,7.2,False,False,mid,False,True,55.0,1,True,False,10.0,42.0,0,False,False,0.0
4339,The Paperboy,R,Crime,medium,12,mid,5.8,False,False,low,False,False,53.0,1,False,False,6.3649529,22.0,14,True,True,1.4317122342853008
4340,The Possession,PG-13,Horror,medium,12,high,5.9,False,False,high,False,False,53.0,0,False,False,0.0,28.0,0,False,False,0.0
4341,Silent Hill: Revelation,R,Action,medium,12,high,5.0,False,True,mid,False,False,44.0,0,False,False,0.0,43.0,0,False,False,0.0
4342,Safe,R,Action,medium,12,very-high,6.5,False,False,mid,False,False,47.0,3,True,False,3.0342235428571427,13.0,10,False,True,2.168224281855159
4343,The Brass Teapot,R,Comedy,medium,12,mid,6.4,False,False,low,False,True,34.0,0,False,False,0.0,23.0,1,False,False,0.03587125
4344,Alex Cross,PG-13,Action,medium,12,mid,5.2,False,True,low,False,False,63.0,8,False,True,2.8486396756451566,45.0,2,False,True,6.8620962
