id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency_cat,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
1475,Intersection,30,R,Drama,98.0,7900.0,5.4,45000000.0,low,65.0,2,False,False,0.6091967166666666,45.0,11,False,True,2.9331730647795977
1476,The Swan Princess,30,G,Animation,90.0,23000.0,6.5,45000000.0,low,43.0,0,False,False,0.0,75.0,0,False,False,0.0
1477,Renaissance Man,30,PG-13,Comedy,128.0,17000.0,6.2,40000000.0,low,51.0,3,True,False,4.477312558870968,50.0,2,False,False,2.394407032967033
1478,Jason's Lyric,30,R,Crime,119.0,3800.0,6.6,7000000.0,mid,42.0,0,False,False,0.0,26.0,0,False,False,0.0
1479,The Cowboy Way,30,PG-13,Action,102.0,7900.0,5.9,35000000.0,low,38.0,0,False,False,0.0,33.0,0,False,False,0.0
1480,No Escape,30,R,Action,118.0,19000.0,6.1,20000000.0,low,51.0,0,False,False,0.0,40.0,1,False,False,0.3542210555555555
1481,The Road to Wellville,30,R,Comedy,118.0,12000.0,5.9,25000000.0,low,50.0,7,True,False,1.0514545645458184,57.0,2,True,False,1.3619237833333333
1482,Highlander: The Final Dimension,30,PG-13,Action,99.0,20000.0,4.5,26000000.0,low,36.0,0,False,False,0.0,37.0,6,False,True,0.6602861486111111
1483,Cemetery Man,30,R,Comedy,105.0,20000.0,7.1,4000000.0,low,37.0,0,False,False,0.0,35.0,0,False,False,0.0
1484,Cabin Boy,30,PG-13,Adventure,80.0,8200.0,5.3,9000000.0,low,24.0,0,False,False,0.0,34.0,0,False,False,0.0
1485,Guarding Tess,30,PG-13,Comedy,96.0,16000.0,6.2,20000000.0,mid,51.0,1,False,False,10.0,60.0,2,True,False,8.225317066666667
1486,Drop Zone,30,R,Action,101.0,19000.0,5.6,45000000.0,low,55.0,6,False,False,3.5943991645784767,32.0,5,False,True,2.9930748599206347
1487,Death Wish: The Face of Death,30,R,Action,95.0,7200.0,4.9,5000000.0,low,45.0,0,False,False,0.0,73.0,8,False,True,2.401134897569044
1488,City Slickers II: the Legend of Curly's Gold,30,PG-13,Comedy,116.0,19000.0,5.5,40000000.0,mid,41.0,1,False,True,0.1923022916666666,46.0,4,True,False,3.2747112993916883
1489,The Ref,30,R,Comedy,96.0,24000.0,6.9,11000000.0,mid,31.0,0,False,False,0.0,37.0,0,False,False,0.0
1490,I.Q.,30,PG,Comedy,100.0,24000.0,6.2,25000000.0,mid,55.0,7,False,False,0.9545208440625124,36.0,2,True,False,1.8790083325
1491,3 Ninjas Kick Back,30,PG,Action,93.0,8600.0,4.6,20000000.0,low,36.0,0,False,False,0.0,67.0,1,False,True,4.461584769230769
1492,The Favor,30,R,Comedy,97.0,2700.0,5.2,13000000.0,low,40.0,1,False,False,2.1322021666666666,37.0,0,False,False,0.0
1493,The Paper,30,R,Comedy,112.0,13000.0,6.6,6000000.0,high,40.0,7,False,False,4.241923714115646,43.0,7,True,True,3.1551916324561406
1494,Terminal Velocity,30,PG-13,Action,102.0,13000.0,5.5,50000000.0,low,36.0,1,False,False,4.21337175,29.0,9,True,False,3.384705368320672
1495,China Moon,30,R,Crime,99.0,6200.0,6.3,15000000.0,low,52.0,0,False,False,0.0,44.0,1,True,False,1.2857156857142855
1496,Little Odessa,30,R,Crime,98.0,7600.0,6.7,2300000.0,low,25.0,0,False,False,0.0,33.0,0,False,False,0.0
1497,Fresh,30,R,Crime,114.0,12000.0,7.6,3500000.0,mid,29.0,0,False,False,0.0,14.0,0,False,False,0.0
1498,Leprechaun 2,30,R,Comedy,85.0,9300.0,4.6,2000000.0,mid,32.0,0,False,False,0.0,24.0,1,False,True,9.507711111111112
1499,Love Affair,30,PG-13,Comedy,108.0,4500.0,6.0,60000000.0,low,40.0,0,False,False,0.0,57.0,4,False,True,1.6557462431989445
1500,Mixed Nuts,30,PG-13,Comedy,97.0,11000.0,5.4,15000000.0,low,53.0,1,False,False,10.0,49.0,7,True,False,2.708863103210123
1501,Silent Fall,30,R,Drama,101.0,3700.0,5.9,30000000.0,low,54.0,3,True,True,3.792532927272728,47.0,6,False,False,1.1849182100662852
1502,The Air Up There,30,PG,Comedy,107.0,8500.0,5.5,17080000.0,mid,51.0,2,False,False,0.985615022349936,36.0,4,False,False,3.025282216990022
