name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Mel Gibson,25,2.6163136762607264,2.8119898742215423,6.82,0.55
Bill Murray,15,3.988500447747489,7.485162088620837,6.92,0.7042726744663604
Burt Reynolds,11,0.33838937807740466,1.3240128270374503,5.490909090909091,0.5923758020961787
James Caan,5,1.0214026879848486,0.6525717711989071,6.76,0.8203657720797474
Sean Connery,14,1.683974623503132,2.4104715481836285,6.457142857142856,0.6210590034081188
Roger Moore,3,1.0346908702741702,0.40122149431396814,6.5,0.20000000000000018
Jamie Lee Curtis,8,6.5043935774057315,8.304228042892912,5.6625,0.8484229066753376
George C. Scott,1,1.5611466428571428,0.0,6.8,0.0
Warren Beatty,6,0.31682711213262954,1.1803607738313102,6.25,0.985393322486001
Mickey Rooney,1,4.2880823333333336,0.0,7.3,0.0
Ben Cross,1,9.782428909090909,0.0,7.2,0.0
Bo Derek,2,2.4494910604395606,3.0772390956523448,3.2,0.28284271247461895
Dudley Moore,7,2.2644331008228984,4.658823538628567,5.628571428571429,1.0045136231269434
Mel Brooks,4,0.5805020098263214,1.0510970418482775,6.674999999999999,0.5315072906367322
Dee Wallace,3,8.600246466666666,7.356815230741891,6.266666666666666,0.2886751345948129
Peter MacNicol,1,-0.2161103888888889,0.0,6.7,0.0
Jeff Bridges,23,0.6402721465151877,1.8098505847445643,6.8478260869565215,0.6222171246418957
Everett McGill,1,0.6770092,0.0,7.3,0.0
Sam Neill,4,5.39669760827253,6.8166517584011554,6.699999999999999,1.163328557774343
Faye Dunaway,2,0.9485330999999999,2.6274943890120146,5.7,1.4142135623730951
Sylvia Kristel,1,8.385357142857142,0.0,5.2,0.0
Maren Jensen,1,2.3116168,0.0,5.6,0.0
William Hurt,5,0.6492544957289004,1.4681678305605526,6.779999999999999,0.4919349550499538
Julie Andrews,2,2.79898408974359,3.620471935107728,6.4,0.0
Catriona MacColl,1,-0.6903925,0.0,6.8,0.0
Frederic Forrest,1,-0.9755078461538461,0.0,6.5,0.0
Sylvester Stallone,32,1.7957128734140042,2.507194595388316,6.0875,0.8303710791159927
Albert Finney,2,-0.3033855147058824,0.10113467528324542,6.6,0.4242640687119289
Treat Williams,4,-0.5204109675387597,0.42800204477247417,6.525,0.6849574196011506
Lauren Tewes,1,0.3982925,0.0,6.0,0.0
George Segal,1,0.5944321666666667,0.0,5.6,0.0
Steve Martin,20,1.1975465233288747,1.673196210641098,6.175,0.6340139463848775
Klinton Spilsbury,1,-0.2990086111111111,0.0,5.1,0.0
Lesley-Anne Down,1,-0.8555163571428571,0.0,5.2,0.0
Daniel Valdez,1,0.2059562962962963,0.0,6.8,0.0
Jack Lemmon,5,0.12314105156559474,0.3279530038045894,6.62,0.6260990336999412
Richard Pryor,7,0.9162546284222781,0.9895769186914734,6.07142857142857,0.570713838726805
