director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Michael Ritchie,8,1.3273173398523717,2.648014578330174,6.0375,0.6254998001598402
Clive Donner,1,-0.022531,0.0,5.1,0.0
Woody Allen,33,0.8128407144528222,2.1954650696564575,7.00909090909091,0.5101247619232699
Jonathan Demme,9,2.3876963301384695,4.735230272260011,6.733333333333333,0.9137833441248532
Clint Eastwood,31,2.415344620137085,2.8323547985263304,6.967741935483873,0.7119864683986598
James Goldstone,1,-0.8118006,0.0,4.6,0.0
Joe Camp,1,0.036011166666666664,0.0,5.4,0.0
Eric Karson,1,3.74275,0.0,5.1,0.0
Charles Jarrott,1,0.8333333333333334,0.0,5.8,0.0
Paul Mazursky,6,0.4900036651532678,1.5412421129867,6.283333333333332,0.29268868558020233
John Huston,3,-0.2539265358169935,0.6366860551673382,5.766666666666666,1.5307950004273378
Steven Spielberg,27,7.506448519175054,14.311539975428227,7.44074074074074,0.6912971415330298
Sam Raimi,14,1.818785761385157,2.3891110280908685,6.828571428571428,0.6231786648719997
Bob Clark,8,6.577614741319097,15.112065009897735,4.7625,1.922749147890667
Desmond Davis,1,1.7394885333333334,0.0,6.9,0.0
John Boorman,4,0.20917506253529072,1.4266107229678833,6.55,0.6191391873668904
George Miller,10,1.9334247661505533,2.4917390198583522,6.65,0.9082951062292474
Ivan Reitman,14,4.117470971965732,4.718749305497022,6.164285714285713,0.8186359600975487
Hal Needham,3,0.8992200703703704,1.9118418230950192,5.0,1.2529964086141667
Michael Mann,11,0.5066786404623916,1.0923919476573882,6.972727272727273,0.9111431381412132
Terry Gilliam,10,1.0916598312152181,2.8187268057804182,7.05,0.7261006970263988
Steve Miner,7,5.570555926065437,7.20060038419938,5.842857142857143,0.3598941643369749
John Glen,6,1.0783708465954185,1.5697589851206073,6.216666666666666,0.8542052836799048
Rick Rosenthal,2,5.5554118692307695,5.173356313498787,5.25,1.7677669529663689
Harold Becker,6,1.250132409160401,1.9396131578307305,6.316666666666666,0.4578937285731993
Warren Beatty,4,0.4633318313807624,1.412796666662812,6.475,0.7135591542869214
Directors,16,1.7854006082973208,1.716957047273733,6.800000000000001,0.8430104783848578
Hugh Hudson,3,3.107951296681096,5.829743602630288,6.300000000000001,0.9539392014169459
Sydney Pollack,8,2.746739431662206,3.2093178346308138,6.5375000000000005,0.7008922884438094
John Derek,2,2.4494910604395606,3.0772390956523448,3.2,0.28284271247461895
Steve Gordon,1,12.637383142857143,0.0,6.9,0.0
Mel Brooks,5,0.4040531400832794,1.0811641270030774,6.5,0.5656854249492378
Joe Dante,9,3.4245361782245536,6.658795104935214,6.5888888888888895,0.4648775226993784
Matthew Robbins,3,0.4180699637037037,1.0274934324904836,6.1000000000000005,1.0392304845413263
Ivan Passer,1,-0.41578866666666664,0.0,6.9,0.0
Jean-Jacques Annaud,3,0.6603659011204482,0.22638194741825507,7.333333333333333,0.2516611478423583
Graham Baker,3,1.1271033791666667,1.9111734410100036,5.933333333333334,0.35118845842842467
Frank Perry,1,2.8064522,0.0,6.7,0.0
Alan Myerson,1,8.385357142857142,0.0,5.2,0.0
Bob Rafelson,6,-0.34176686616161617,0.9280884184539664,6.05,0.8938679992034617
Wes Craven,15,3.2789147544902995,4.073265069457204,6.06,0.8642089694380306
Peter Yates,4,-0.3897370749474405,0.5433735260387021,6.199999999999999,0.2708012801545319
