actor,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
John Hurt,John Hurt,1940.0,2017.0,1984,actor,soundtrack
Toni Attell,Toni Attell,1948.0,0.0,Babylon 5,actress,
Bette Midler,Bette Midler,1945.0,0.0,Beaches,actress,producer
Ryan O'Neal,Ryan O'Neal,1941.0,2023.0,Love Story,actor,producer
Luciano Pavarotti,Luciano Pavarotti,1935.0,2007.0,"Yes, Giorgio",actor,director
C. Thomas Howell,C. Thomas Howell,1966.0,0.0,The Outsiders,actor,producer
Tom Cruise,Tom Cruise,1962.0,0.0,Top Gun,actor,producer
Eddie Murphy,Eddie Murphy,1961.0,0.0,The Nutty Professor,actor,writer
Tom Berenger,Tom Berenger,1949.0,0.0,Inception,actor,producer
Dennis Quaid,Dennis Quaid,1954.0,0.0,Far from Heaven,actor,producer
Keith Gordon,Keith Gordon,1961.0,0.0,A Midnight Clear,director,actor
Jennifer Beals,Jennifer Beals,1963.0,0.0,Flashdance,actress,producer
Matthew Broderick,Matthew Broderick,1962.0,0.0,The Producers,actor,director
Sam Shepard,Sam Shepard,1943.0,2017.0,August: Osage County,actor,writer
Ken Marshall,Ken Marshall,1950.0,0.0,Krull,actor,archive_footage
Ken Marshall,Ken Marshall,1922.0,1997.0,The Gods Must Be Crazy II,actor,
Christopher Walken,Christopher Walken,1943.0,0.0,The Deer Hunter,actor,producer
Phoebe Cates,Phoebe Cates,1963.0,0.0,Fast Times at Ridgemont High,actress,soundtrack
Nicolas Cage,Nicolas Cage,1964.0,0.0,Face/Off,actor,producer
Matt Dillon,Matt Dillon,1964.0,0.0,There's Something About Mary,actor,director
James Woods,James Woods,1947.0,0.0,Vampires,actor,producer
Shirley MacLaine,Shirley MacLaine,1934.0,0.0,Terms of Endearment,actress,writer
Dan Aykroyd,Dan Aykroyd,1952.0,0.0,Ghostbusters,writer,actor
Peter Billingsley,Peter Billingsley,1971.0,0.0,A Christmas Story,producer,actor
Anthony Perkins,Anthony Perkins,1932.0,1992.0,Psycho,actor,director
Barbra Streisand,Barbra Streisand,1942.0,0.0,Yentl,music_artist,actress
Randy Norton,,,,,,
Graham Chapman,Graham Chapman,1941.0,1989.0,Monty Python and the Holy Grail,writer,actor
John Cleese,John Cleese,1939.0,0.0,A Fish Called Wanda,actor,writer
Rick Hill,Rick Hill,1953.0,0.0,Cheers,actor,director
Jason Robards,Jason Robards,1922.0,2000.0,All the President's Men,actor,soundtrack
Peter Keleghan,Peter Keleghan,1959.0,0.0,Ginger Snaps,actor,writer
Cliff Gorman,Cliff Gorman,1936.0,2002.0,All That Jazz,actor,archive_footage
Mary Beth McDonough,Mary Beth McDonough,1961.0,0.0,The Waltons,actress,writer
Linda Blair,Linda Blair,1959.0,0.0,The Exorcist,actress,producer
Peter Strauss,Peter Strauss,1947.0,0.0,xXx: State of the Union,actor,producer
Peter Strauss,Peter Strauss,1923.0,2012.0,The Century of the Self,archive_footage,
Tom Selleck,Tom Selleck,1945.0,0.0,Blue Bloods,actor,producer
Don Francks,Don Francks,1932.0,2016.0,Heavy Metal,actor,writer
Lou Ferrigno,Lou Ferrigno,1951.0,0.0,The Incredible Hulk,actor,producer
Tony Roberts,Tony Roberts,1939.0,0.0,"Play It Again, Sam",actor,soundtrack
Rutger Hauer,Rutger Hauer,1944.0,2019.0,Hobo with a Shotgun,actor,producer
Shô Kosugi,Shô Kosugi,1948.0,0.0,Ninja Assassin,actor,miscellaneous
Peter Weller,Peter Weller,1947.0,0.0,RoboCop,actor,director
David Niven,David Niven,1910.0,1983.0,Murder by Death,actor,producer
Max Gail,Max Gail,1943.0,0.0,42,actor,director
Walter Matthau,Walter Matthau,1920.0,2000.0,The Odd Couple,actor,director
Pia Zadora,Pia Zadora,1954.0,0.0,The Lonely Lady,actress,soundtrack
Cristina Raines,Cristina Raines,1952.0,0.0,Nashville,actress,producer
Rosanna Arquette,Rosanna Arquette,1959.0,0.0,Pulp Fiction,actress,producer
Malcolm McDowell,Malcolm McDowell,1943.0,0.0,A Clockwork Orange,actor,producer
Tommy Lee Jones,Tommy Lee Jones,1946.0,0.0,The Fugitive,actor,director
Martin Yost,,,,,,
Linda Griffiths,Linda Griffiths,1953.0,2014.0,Lianna,actress,writer
Robby Benson,Robby Benson,1956.0,0.0,Beauty and the Beast,actor,director
Margot Kidder,Margot Kidder,1948.0,2018.0,Superman,actress,producer
Everett Silas,,,,,,
Kyle MacLachlan,Kyle MacLachlan,1959.0,0.0,Twin Peaks,actor,director
Ralph Macchio,Ralph Macchio,1961.0,0.0,The Karate Kid Part III,actor,producer
Craig Wasson,Craig Wasson,1954.0,0.0,A Nightmare on Elm Street 3: Dream Warriors,actor,writer
Heather Langenkamp,Heather Langenkamp,1964.0,0.0,A Nightmare on Elm Street,actress,writer
F. Murray Abraham,F. Murray Abraham,1939.0,0.0,Amadeus,actor,soundtrack
Patrick Swayze,Patrick Swayze,1952.0,2009.0,Dirty Dancing,actor,producer
Noah Hathaway,Noah Hathaway,1971.0,0.0,The NeverEnding Story,actor,miscellaneous
Kevin Bacon,Kevin Bacon,1958.0,0.0,Footloose,actor,producer
Robert Carradine,Robert Carradine,1954.0,0.0,Revenge of the Nerds,actor,producer
Zach Galligan,Zach Galligan,1964.0,0.0,Gremlins,actor,director
Michael Douglas,Michael Douglas,1944.0,0.0,Wall Street,actor,producer
Michael Paré,Michael Paré,1958.0,0.0,The Virgin Suicides,actor,director
Molly Ringwald,Molly Ringwald,1968.0,0.0,Sixteen Candles,actress,music_department
Rob Reiner,Rob Reiner,1947.0,0.0,All in the Family,actor,writer
Val Kilmer,Val Kilmer,1959.0,0.0,The Doors,actor,producer
Peter Horton,Peter Horton,1953.0,0.0,New Amsterdam,producer,actor
Peter Horton,Peter Horton,1941.0,2023.0,The Old Fox,actor,composer
Lance Guest,Lance Guest,1960.0,0.0,The Last Starfighter,actor,soundtrack
Tom Hanks,Tom Hanks,1956.0,0.0,Cast Away,producer,actor
John Getz,John Getz,1946.0,0.0,The Social Network,actor,soundtrack
Sumi Shimamoto,Sumi Shimamoto,1954.0,0.0,Nausicaä of the Valley of the Wind,actress,
Erich Anderson,,,,,,
Rachel Ward,Rachel Ward,1957.0,0.0,The Thorn Birds,actress,director
Helen Slater,Helen Slater,1963.0,0.0,Supergirl,actress,writer
Drew Barrymore,Drew Barrymore,1975.0,0.0,Charlie's Angels,producer,actress
John Heard,John Heard,1946.0,2017.0,The Guardian,actor,producer
John Heard,John Heard,1978.0,0.0,The Whole Ten Yards,editorial_department,producer
Gene Wilder,Gene Wilder,1933.0,2016.0,Willy Wonka & the Chocolate Factory,actor,writer
Harry Dean Stanton,Harry Dean Stanton,1926.0,2017.0,Lucky,actor,soundtrack
Sam Waterston,Sam Waterston,1940.0,0.0,The Killing Fields,actor,producer
Catherine Mary Stewart,Catherine Mary Stewart,1959.0,0.0,The Last Starfighter,actress,stunts
John Lurie,John Lurie,1952.0,0.0,Stranger Than Paradise,music_department,actor
Robert Urich,Robert Urich,1946.0,2002.0,Lonesome Dove,actor,producer
Judy Davis,Judy Davis,1955.0,0.0,Husbands and Wives,actress,producer
Prince,Prince,1958.0,2016.0,Under the Cherry Moon,music_artist,composer
Rob Lowe,Rob Lowe,1964.0,0.0,St. Elmo's Fire,actor,producer
Tanya Roberts,Tanya Roberts,1949.0,2021.0,A View to a Kill,actress,producer
Christopher Lambert,Christopher Lambert,1957.0,0.0,Highlander,actor,producer
Matthew Modine,Matthew Modine,1959.0,0.0,Full Metal Jacket,actor,producer
Sarah Patterson,Sarah Patterson,1972.0,0.0,Snow White,actress,
Lilyan Chauvin,Lilyan Chauvin,1925.0,2008.0,Predator 2,actress,director
Eric Roberts,Eric Roberts,1956.0,0.0,Runaway Train,actor,producer
Eric Roberts,Eric Roberts,1944.0,0.0,The Mikado,actor,writer
Eric Roberts,Eric Roberts,1914.0,2010.0,The Tomorrow People,actor,
Rae Dawn Chong,Rae Dawn Chong,1961.0,0.0,Commando,actress,director
Teri Garr,Teri Garr,1947.0,0.0,Tootsie,actress,miscellaneous
Howard E. Rollins Jr.,Howard E. Rollins Jr.,1950.0,1996.0,Ragtime,actor,archive_footage
Tab Hunter,Tab Hunter,1931.0,2018.0,Damn Yankees,actor,producer
Steven Bauer,Steven Bauer,1956.0,0.0,Scarface,actor,producer
Joe Morton,Joe Morton,1947.0,0.0,Terminator 2: Judgment Day,actor,producer
Geneviève Bujold,Geneviève Bujold,1942.0,0.0,Dead Ringers,actress,writer
Tim Matheson,Tim Matheson,1947.0,0.0,National Lampoon's Animal House,actor,director
Diane Keaton,Diane Keaton,1946.0,0.0,Annie Hall,actress,producer
Paul McCartney,Paul McCartney,1942.0,0.0,Sgt. Pepper's Lonely Hearts Club Band,music_artist,composer
Michael O'Keefe,Michael O'Keefe,1955.0,0.0,Caddyshack,actor,director
Debra Winger,Debra Winger,1955.0,0.0,Terms of Endearment,actress,producer
Gary Busey,Gary Busey,1944.0,0.0,The Buddy Holly Story,actor,producer
Brooke Adams,Brooke Adams,1949.0,0.0,Invasion of the Body Snatchers,actress,producer
Brooke Adams,Brooke Adams,1986.0,0.0,My Boyfriend's Back,actress,music_department
Brooke Adams,Brooke Adams,1969.0,0.0,Glory Hole,actress,
Brooke Adams,Brooke Adams,1984.0,0.0,TNA iMPACT! Wrestling,actress,archive_footage
Anthony Michael Hall,Anthony Michael Hall,1968.0,0.0,War Machine,actor,producer
Sean Astin,Sean Astin,1971.0,0.0,The Lord of the Rings: The Two Towers,actor,producer
Michael J. Fox,Michael J. Fox,1961.0,0.0,Back to the Future,actor,producer
Michael J. Fox,Michael J. Fox,1969.0,0.0,The Host,sound_department,miscellaneous
William Petersen,William Petersen,1953.0,0.0,CSI: Crime Scene Investigation,producer,actor
Eileen Brennan,Eileen Brennan,1932.0,2013.0,Clue,actress,writer
Emilio Estevez,Emilio Estevez,1962.0,0.0,The Way,actor,director
Don Ameche,Don Ameche,1908.0,1993.0,Cocoon,actor,director
Clu Gulager,Clu Gulager,1928.0,2022.0,The Return of the Living Dead,actor,director
Demi Moore,Demi Moore,1962.0,0.0,G.I. Jane,actress,producer
Jonathan Pryce,Jonathan Pryce,1947.0,0.0,The Two Popes,actor,producer
Danny Glover,Danny Glover,1946.0,0.0,Lethal Weapon,actor,producer
Kevin Kline,Kevin Kline,1947.0,0.0,Wild Wild West,actor,director
Tatsuya Nakadai,Tatsuya Nakadai,1932.0,0.0,Harakiri,actor,soundtrack
Maggie Smith,Maggie Smith,1934.0,0.0,Gosford Park,actress,soundtrack
Chris Sarandon,Chris Sarandon,1942.0,0.0,The Nightmare Before Christmas,actor,soundtrack
Ethan Hawke,Ethan Hawke,1970.0,0.0,Training Day,actor,producer
Griffin Dunne,Griffin Dunne,1955.0,0.0,After Hours,actor,director
Robert Englund,Robert Englund,1947.0,0.0,A Nightmare on Elm Street,actor,miscellaneous
Steve Railsback,Steve Railsback,1945.0,0.0,Lifeforce,actor,producer
Paul Reubens,Paul Reubens,1952.0,2023.0,Pee-wee's Playhouse,actor,writer
Lori Cardille,Lori Cardille,1954.0,0.0,Day of the Dead,actress,producer
William Katt,William Katt,1951.0,0.0,The Man from Earth,actor,director
Grant Bardsley,,,,,,
Melanie Kinnaman,Melanie Kinnaman,1953.0,0.0,Friday the 13th: A New Beginning,actress,archive_footage
Jeffrey Combs,Jeffrey Combs,1954.0,0.0,Re-Animator,actor,miscellaneous
Taimak,Taimak,1964.0,0.0,The Last Dragon,actor,stunts
Lauren Hutton,Lauren Hutton,1943.0,0.0,American Gigolo,producer,actress
Jeff Goldblum,Jeff Goldblum,1952.0,0.0,Jurassic Park,actor,producer
John Cusack,John Cusack,1966.0,0.0,Grosse Pointe Blank,actor,producer
Mikhail Baryshnikov,Mikhail Baryshnikov,1948.0,0.0,The Turning Point,actor,producer
Nicholas Rowe,Nicholas Rowe,1966.0,0.0,Young Sherlock Holmes,actor,archive_footage
Nicholas Rowe,Nicholas Rowe,1674.0,1718.0,Jane Shore,writer,
Mickey Rourke,Mickey Rourke,1952.0,0.0,Sin City,actor,writer
Bruno Lawrence,Bruno Lawrence,1941.0,1995.0,The Quiet Earth,actor,writer
Ken Ogata,Ken Ogata,1937.0,2008.0,Edo Porn,actor,miscellaneous
Sally Field,Sally Field,1946.0,0.0,Forrest Gump,actress,producer
Kevin Costner,Kevin Costner,1955.0,0.0,The Postman,actor,producer
Richard Chamberlain,Richard Chamberlain,1934.0,0.0,The Towering Inferno,actor,producer
Michael Dudikoff,Michael Dudikoff,1954.0,0.0,Platoon Leader,actor,assistant_director
Timothy Hutton,Timothy Hutton,1960.0,0.0,Ordinary People,actor,producer
Helen Shaver,Helen Shaver,1951.0,0.0,Desert Hearts,actress,director
Mia Farrow,Mia Farrow,1945.0,0.0,Rosemary's Baby,actress,soundtrack
Louise Lasser,Louise Lasser,1939.0,0.0,Happiness,actress,writer
Sting,Sting,1951.0,0.0,Dune,music_artist,actor
Raymond Burr,Raymond Burr,1917.0,1993.0,Rear Window,actor,production_manager
Jackie Chan,Jackie Chan,1954.0,0.0,Who Am I?,producer,actor
Sheila E.,Sheila E.,1957.0,0.0,Man of Steel,music_department,actress
John Erwin,John Erwin,1936.0,0.0,He-Man and the Masters of the Universe,actor,special_effects
Joe Colligan,Joe Colligan,1956.0,0.0,Friends,actor,archive_footage
Georgia Engel,Georgia Engel,1948.0,2019.0,Everybody Loves Raymond,actress,soundtrack
Daniel Jenkins,,,,,,
Mario Van Peebles,Mario Van Peebles,1957.0,0.0,Baadasssss!,actor,director
Sigourney Weaver,Sigourney Weaver,1949.0,0.0,Alien Resurrection,actress,producer
Wil Wheaton,Wil Wheaton,1972.0,0.0,Stand by Me,actor,writer
Paul Hogan,Paul Hogan,1939.0,0.0,Crocodile Dundee,actor,writer
Paul Hogan,Paul Hogan,1919.0,1980.0,Captain China,actor,
Paul Hogan,Paul Hogan,1974.0,0.0,Bad Company,assistant_director,producer
Paul Hogan,Paul Hogan,1975.0,0.0,Ricky! The Movie,actor,writer
David Bowie,David Bowie,1947.0,2016.0,Labyrinth,music_artist,actor
Charlie Sheen,Charlie Sheen,1965.0,0.0,Two and a Half Men,actor,producer
Isabella Rossellini,Isabella Rossellini,1952.0,0.0,Blue Velvet,actress,director
Lea Thompson,Lea Thompson,1961.0,0.0,Back to the Future,actress,director
