actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Daryl Sabara,low,very-profitable,low,low,low
Derek Richardson,low,profitable,low,low,low
Jonathan Breck,low,profitable,low,mid-low,low
Jessica Alba,mid,profitable,low,low,high
Jonathan Cherry,low,not-profitable,low,low,low
Jennifer Connelly,low,not-profitable,low,mid-high,high
Peter Dinklage,low,very-profitable,low,high,low
Adam Brody,low,not-profitable,low,mid-low,low
Halle Berry,mid,profitable,mid,mid-low,high
Hilary Duff,mid,profitable,mid,mid-low,low
Brittany Murphy,low,not-profitable,mid,mid-low,mid
Jamie Kennedy,low,not-profitable,mid,low,high
Anthony Anderson,low,not-profitable,low,low,low
Michèle Caucheteux,low,not-profitable,low,high,low
Paul Rudd,mid,profitable,mid,mid-high,mid
Wes Ramsey,low,not-profitable,low,mid-high,low
Clive Owen,mid,not-profitable,low,mid-high,low
Romola Garai,low,not-profitable,low,mid-high,low
Jason Lee,mid,profitable,mid,low,mid
Zooey Deschanel,low,very-profitable,high,mid-high,mid
Kelly Clarkson,low,not-profitable,low,low,high
Philip Seymour Hoffman,mid,not-profitable,mid,mid-high,low
Joe Nicolo,low,not-profitable,low,mid-low,low
Anne Reid,low,not-profitable,low,mid-high,low
Jodi Carlisle,low,profitable,low,mid-low,low
Joseph Fiennes,low,not-profitable,low,mid-high,low
Corbin Allred,low,not-profitable,low,mid-high,low
Samy Naceri,low,very-profitable,low,mid-low,low
Liam Aiken,low,profitable,low,low,low
Emile Hirsch,mid,not-profitable,mid,mid-high,high
Scott Mechlowicz,low,not-profitable,low,mid-high,mid
Lindsay Lohan,mid,profitable,mid,low,high
Hugh Jackman,high,profitable,mid,mid-high,mid
Craig T. Nelson,low,very-profitable,low,high,low
Chieko Baishô,low,very-profitable,low,high,low
Jon Heder,low,very-profitable,low,mid-high,low
Jennifer Garner,mid,profitable,mid,mid-low,high
Don Cheadle,mid,very-profitable,high,high,mid
John Cho,mid,very-profitable,high,mid-high,mid
Paul Giamatti,mid,profitable,high,mid-high,high
Anne Hathaway,high,profitable,mid,mid-low,mid
Shane Carruth,low,very-profitable,low,mid-high,low
Tom Kenny,low,very-profitable,low,mid-high,high
Zach Braff,mid,very-profitable,high,mid-high,high
Tony Chiu-Wai Leung,mid,profitable,mid,mid-high,mid
Martin Henderson,low,profitable,mid,low,high
Cayden Boyd,low,not-profitable,low,low,low
Queen Latifah,low,not-profitable,mid,mid-low,high
Kenan Thompson,low,not-profitable,low,low,low
Jena Malone,low,profitable,low,mid-high,low
Viggo Mortensen,mid,very-profitable,high,high,mid
Rory Culkin,low,not-profitable,low,mid-high,low
Diego Luna,low,not-profitable,low,mid-high,high
Sara Foster,low,not-profitable,low,low,low
Gael García Bernal,low,very-profitable,low,high,low
Dwayne Adway,low,not-profitable,low,low,low
Seung-Yun Lee,low,profitable,low,high,low
Mary-Kate Olsen,low,not-profitable,low,low,low
Stellan Skarsgård,low,not-profitable,low,low,low
Tracey Ullman,low,not-profitable,low,low,low
Cedric the Entertainer,low,profitable,low,low,low
Konstantin Khabenskiy,low,very-profitable,low,mid-high,low
Omarion,low,very-profitable,low,low,low
Ray Romano,mid,very-profitable,high,mid-high,mid
Owen Wilson,high,profitable,mid,mid-high,high
Catalina Sandino Moreno,low,very-profitable,low,high,low
Imelda Staunton,low,not-profitable,low,high,low
Paul Kaye,low,not-profitable,low,mid-high,low
Kristen Stewart,high,very-profitable,high,mid-low,mid
Jang Dong-Gun,low,profitable,high,mid-high,high
Anthony Mackie,low,not-profitable,low,low,low
Steve Carell,high,very-profitable,high,mid-high,mid
Ziyi Zhang,low,not-profitable,low,mid-high,low
Keira Knightley,mid,profitable,mid,mid-high,high
Hugo Weaving,low,profitable,low,high,low
Orlando Bloom,low,not-profitable,low,mid-high,mid
Martin Freeman,low,profitable,mid,mid-high,high
Ioan Gruffudd,low,profitable,low,mid-low,low
Nathan Fillion,low,not-profitable,low,mid-high,high
Jay Hernandez,low,very-profitable,low,mid-low,low
Patrick Wilson,mid,very-profitable,high,mid-high,mid
Amber Tamblyn,low,profitable,mid,mid-low,high
Rachel McAdams,mid,profitable,mid,mid-low,mid
Chad Michael Murray,low,not-profitable,low,low,low
Seann William Scott,low,profitable,low,low,low
Stephanie Leonidas,low,not-profitable,low,mid-high,low
Donnie Wahlberg,low,very-profitable,low,mid-high,low
Josh Hutcherson,mid,very-profitable,high,mid-low,mid
Camilla Belle,mid,profitable,mid,mid-low,mid
Nathan Phillips,low,very-profitable,low,mid-low,low
Karl Urban,mid,not-profitable,low,mid-low,high
Owen Kline,low,very-profitable,low,mid-high,low
Kimberly Elise,low,very-profitable,low,mid-low,low
Peter Sallis,low,very-profitable,low,high,low
50 Cent,low,not-profitable,low,low,low
Kristanna Loken,low,not-profitable,low,low,low
Navi Rawat,low,not-profitable,low,mid-low,low
Kuno Becker,low,profitable,low,mid-high,low
Jack Thompson,low,not-profitable,low,low,low
David Strathairn,low,very-profitable,low,high,low
Julian Morris,low,very-profitable,low,mid-low,low
Ray Winstone,low,not-profitable,low,mid-high,high
Josh Lucas,low,not-profitable,low,low,low
Terrence Howard,low,very-profitable,low,mid-high,low
Tom Welling,low,profitable,low,low,low
AnnaSophia Robb,low,profitable,low,mid-high,mid
Benjamin Bratt,low,not-profitable,low,mid-high,low
Steve Howey,low,not-profitable,low,low,low
Barney Clark,low,not-profitable,low,mid-high,low
John Hawkes,low,very-profitable,low,mid-high,low
Felicity Huffman,low,very-profitable,low,high,low
Bryce Dallas Howard,low,not-profitable,mid,mid-high,mid
Embeth Davidtz,low,profitable,low,mid-high,low
Lou Taylor Pucci,low,not-profitable,low,mid-high,low
Lucas Black,low,not-profitable,low,mid-low,low
Daniel Craig,high,profitable,mid,mid-high,high
Ivana Baquero,low,very-profitable,low,high,low
Gerardo Taracena,low,profitable,low,high,low
James McAvoy,high,very-profitable,high,mid-high,high
Ulrich Mühe,low,very-profitable,low,high,low
Justin Long,mid,profitable,mid,low,high
Brandon Routh,low,not-profitable,low,mid-low,low
Steven Strait,low,not-profitable,low,low,low
Ted Levine,low,very-profitable,low,mid-high,low
Ben Whishaw,low,profitable,mid,high,low
Carice van Houten,low,not-profitable,low,high,low
Channing Tatum,high,very-profitable,high,mid-low,mid
Sacha Baron Cohen,mid,very-profitable,high,mid-high,mid
Mary Elizabeth Winstead,low,profitable,mid,mid-low,low
Emma Roberts,mid,profitable,mid,mid-low,mid
Lee Pace,low,not-profitable,low,high,low
Jesse Metcalfe,low,profitable,mid,mid-low,low
Ed Speleers,low,profitable,low,low,low
Beyoncé,low,profitable,mid,mid-low,high
Tobin Bell,mid,very-profitable,high,mid-low,low
Mitchel Musso,low,not-profitable,low,mid-high,low
Jessica Simpson,low,profitable,low,mid-low,low
Jaime Pressly,low,not-profitable,low,low,low
Sook-Yin Lee,low,profitable,low,mid-high,low
David Alan Basche,low,very-profitable,low,high,low
Ken Watanabe,low,profitable,low,high,low
Dakota Fanning,mid,not-profitable,mid,mid-high,high
Liev Schreiber,low,very-profitable,low,mid-low,low
Jon Foster,low,profitable,low,low,low
Josh Duhamel,low,not-profitable,low,low,low
Tyler Perry,mid,very-profitable,high,low,mid
John Cena,mid,not-profitable,mid,mid-low,high
Sienna Miller,low,not-profitable,low,mid-high,low
Kevin James,mid,profitable,mid,low,high
Freddie Highmore,mid,not-profitable,low,mid-high,mid
Alyson Hannigan,low,very-profitable,low,low,low
James Franco,mid,profitable,mid,mid-high,mid
Alison Lohman,low,profitable,mid,mid-low,low
Patrick Fugit,low,not-profitable,low,mid-high,low
Glenn Jacobs,low,profitable,low,low,low
T.I.,low,not-profitable,low,mid-low,low
Toby Jones,low,not-profitable,low,mid-high,low
Kristen Bell,mid,profitable,high,mid-low,high
Jake T. Austin,low,not-profitable,low,mid-low,low
Daniel London,low,not-profitable,low,mid-high,low
Catherine O'Hara,low,not-profitable,low,mid-low,low
Logan Lerman,mid,not-profitable,low,mid-low,high
Charlie Cox,low,not-profitable,low,high,low
Michael Cera,mid,profitable,high,mid-high,mid
Brad Garrett,low,very-profitable,low,high,low
Elliot Page,mid,very-profitable,high,mid-high,high
Amy Adams,mid,profitable,mid,mid-high,mid
Seth Rogen,mid,very-profitable,high,mid-low,mid
Scout Taylor-Compton,low,profitable,mid,mid-low,high
Ryan Kwanten,low,not-profitable,low,mid-low,low
Jerry Seinfeld,low,not-profitable,low,mid-low,low
Reiko Aylesworth,low,profitable,low,low,low
Dane Cook,low,profitable,low,mid-low,low
Lauren German,low,not-profitable,mid,mid-low,low
Karra Elejalde,low,not-profitable,low,mid-high,low
Kal Penn,low,very-profitable,low,low,low
Daniel Hansen,low,not-profitable,low,mid-high,low
Katie Featherston,low,very-profitable,high,mid-low,mid
John C. Reilly,mid,not-profitable,mid,mid-high,mid
Gaspard Ulliel,low,not-profitable,low,mid-low,low
Dan Castellaneta,low,very-profitable,low,mid-high,low
Matthew Macfadyen,low,very-profitable,low,high,low
Will Arnett,mid,not-profitable,mid,mid-low,high
Thomas Lennon,low,profitable,low,mid-low,low
Marion Cotillard,low,not-profitable,mid,mid-high,high
Glen Hansard,low,very-profitable,low,high,low
Richard Jenkins,low,very-profitable,low,high,low
Keri Russell,low,very-profitable,high,mid-high,mid
Alexander Ludwig,low,not-profitable,low,low,low
Catherine Zeta-Jones,low,profitable,low,mid-low,low
Daniella Alonso,low,profitable,low,low,low
Sean Bean,low,profitable,low,mid-low,low
Khalid Abdalla,low,profitable,low,high,low
Skyler Shaye,low,not-profitable,low,low,low
Gabrielle Union,low,profitable,low,mid-low,low
David Koechner,low,not-profitable,low,low,low
Wagner Moura,low,profitable,low,high,low
Norah Jones,low,profitable,low,mid-high,low
Javier Bardem,low,not-profitable,low,mid-high,low
Rachel Nichols,low,not-profitable,low,mid-low,low
Patrick Carroll,low,not-profitable,low,mid-low,low
Big Boi,low,not-profitable,low,low,low
Chiara Mastroianni,low,profitable,low,high,low
Robert Wisdom,low,not-profitable,low,mid-low,low
Elisha Cuthbert,low,not-profitable,low,low,low
Anton Yelchin,mid,not-profitable,low,mid-high,low
Justin Chatwin,low,not-profitable,low,low,high
Michelle Morgan,low,profitable,low,mid-low,low
Columbus Short,low,very-profitable,low,low,low
Zack Ward,low,not-profitable,low,low,low
Scott Speedman,low,very-profitable,low,mid-low,low
Ben Burtt,low,profitable,low,high,low
Rebecca Hall,low,profitable,high,mid-low,high
Dev Patel,mid,very-profitable,high,high,mid
Mike Vogel,low,very-profitable,low,mid-high,low
Shawn Ashmore,low,profitable,low,mid-low,low
Jim Sturgess,mid,not-profitable,mid,mid-high,mid
Sean Faris,low,profitable,low,mid-high,low
Josh Zuckerman,low,not-profitable,low,mid-high,low
Ben Barnes,mid,not-profitable,low,mid-low,mid
Asa Butterfield,low,profitable,mid,high,low
Katherine Heigl,mid,profitable,high,mid-low,mid
Kåre Hedebrant,low,profitable,low,high,low
Tom Hardy,high,profitable,high,mid-high,mid
Carmen Electra,low,not-profitable,low,low,low
Drake Bell,low,profitable,low,low,low
Ray Stevenson,low,not-profitable,low,mid-high,high
Rhona Mitra,low,not-profitable,mid,mid-low,mid
Gabriel Macht,low,not-profitable,low,low,low
Ricky Gervais,mid,not-profitable,low,mid-high,low
Chris Pine,mid,not-profitable,low,mid-high,mid
Rainn Wilson,low,not-profitable,low,mid-high,mid
Robert Hoffman,low,very-profitable,low,mid-low,low
Paul Sorvino,low,not-profitable,low,mid-high,low
Scott Patterson,low,very-profitable,low,mid-low,low
Vinnie Jones,low,not-profitable,low,mid-low,low
Rachel Weisz,mid,not-profitable,low,mid-high,low
Josh Brolin,mid,not-profitable,mid,mid-low,high
Simon Pegg,mid,not-profitable,low,mid-high,low
Brittany Snow,low,profitable,low,low,low
Zac Efron,high,very-profitable,high,mid-low,mid
Sean Maguire,low,profitable,low,low,low
Matt Lanter,low,very-profitable,low,mid-low,low
Tina Fey,low,not-profitable,mid,mid-low,mid
Saoirse Ronan,mid,profitable,mid,mid-high,mid
Jennifer Carpenter,low,profitable,low,mid-low,low
Frank Langella,low,not-profitable,low,high,low
Michelle Williams,mid,profitable,mid,mid-high,low
Stephen McHattie,low,not-profitable,low,mid-high,low
Ari Folman,low,very-profitable,low,high,low
Matthew Goode,low,not-profitable,low,mid-high,low
Alyssa Milano,low,not-profitable,low,mid-low,low
Rob Brown,low,not-profitable,low,mid-high,low
Josh Peck,low,not-profitable,low,mid-high,low
Jimmy Bennett,low,not-profitable,low,low,low
Melissa Leo,low,very-profitable,low,mid-high,low
Sam Worthington,mid,very-profitable,high,mid-high,high
Megan Fox,mid,profitable,mid,mid-low,mid
Jackie Earle Haley,low,profitable,mid,mid-high,high
Zach Galifianakis,mid,very-profitable,high,mid-high,high
Ginnifer Goodwin,mid,very-profitable,mid,mid-high,high
Jesse Eisenberg,high,profitable,mid,mid-high,mid
Sharlto Copley,mid,very-profitable,high,mid-high,mid
Quinton Aaron,low,very-profitable,low,high,low
Edward Asner,low,very-profitable,low,high,low
Dan Fogler,low,not-profitable,low,mid-high,low
Jared Padalecki,low,very-profitable,low,mid-low,low
Anika Noni Rose,low,profitable,low,mid-high,low
Nathaniel Brown,low,not-profitable,low,mid-high,low
Eric Christian Olsen,low,not-profitable,low,mid-low,low
Garret Dillahunt,low,profitable,low,mid-high,low
Michael Nyqvist,low,very-profitable,low,high,low
Penn Badgley,low,not-profitable,low,mid-low,low
Max Records,low,not-profitable,low,mid-high,low
Briana Evigan,low,profitable,low,low,low
Christopher Plummer,low,profitable,low,mid-high,low
Gabourey Sidibe,low,very-profitable,low,mid-high,low
Hye-ja Kim,low,profitable,low,high,low
Michael Stuhlbarg,low,very-profitable,low,mid-high,low
Josh Stewart,low,not-profitable,low,mid-low,low
Rain,low,not-profitable,low,mid-low,low
Nick Zano,low,very-profitable,low,low,low
Carey Mulligan,low,profitable,low,mid-high,low
Jensen Ackles,low,very-profitable,low,low,low
Emily Blunt,mid,very-profitable,high,mid-high,mid
Tahar Rahim,low,not-profitable,low,high,low
Katie Jarvis,low,not-profitable,low,mid-high,low
Hayden Panettiere,low,not-profitable,low,low,low
Odette Annable,low,very-profitable,low,low,low
Jamal Woolard,low,profitable,low,mid-high,low
Sasha Grey,low,not-profitable,low,mid-low,low
Christian Friedel,low,not-profitable,low,high,low
Sean Patrick Flanery,low,not-profitable,low,mid-low,low
Miley Cyrus,mid,profitable,mid,low,high
Alan Van Sprang,low,not-profitable,low,low,low
Jocelin Donahue,low,not-profitable,low,mid-high,low
John Krasinski,low,not-profitable,low,mid-high,low
Abbie Cornish,low,not-profitable,mid,mid-high,mid
Jeppe Beck Laursen,low,profitable,low,mid-low,low
Ben Foster,low,not-profitable,low,mid-high,low
Evan McGuire,low,not-profitable,low,high,low
Gemma Arterton,low,not-profitable,low,mid-high,low
Zach Cregger,low,not-profitable,low,low,low
Chris Massoglia,low,not-profitable,low,mid-low,low
Ashley Tisdale,low,not-profitable,low,low,low
Kristin Kreuk,low,not-profitable,low,low,low
Colm Meaney,low,not-profitable,low,high,low
Michael Angarano,low,not-profitable,low,mid-low,low
Rooney Mara,low,not-profitable,mid,mid-high,high
Jonathan D. Mellor,low,profitable,low,mid-high,low
Jay Baruchel,mid,profitable,low,high,high
Aaron Taylor-Johnson,mid,profitable,low,mid-high,mid
Madeline Carroll,low,not-profitable,low,high,low
Scoot McNairy,low,very-profitable,low,mid-high,low
Sarah Butler,low,not-profitable,low,mid-low,low
Noah Ringer,low,profitable,low,low,low
Lubna Azabal,low,not-profitable,low,high,low
Mia Wasikowska,mid,profitable,mid,mid-high,low
Emma Stone,mid,very-profitable,high,mid-high,high
Danny Trejo,low,profitable,mid,mid-low,high
Idris Elba,mid,not-profitable,low,mid-low,mid
Michael Fassbender,high,not-profitable,low,mid-low,high
Zachary Gordon,mid,very-profitable,low,mid-low,low
Paul Bettany,low,not-profitable,low,mid-low,low
Robert Pattinson,mid,not-profitable,mid,mid-high,high
Jennifer Lawrence,high,very-profitable,mid,mid-high,mid
Chris Brown,low,very-profitable,high,mid-low,low
Chris Messina,low,very-profitable,low,mid-low,low
Keir Gilchrist,low,not-profitable,low,mid-high,low
Kodi Smit-McPhee,mid,not-profitable,low,mid-high,low
Will Forte,low,not-profitable,low,mid-low,low
Eric Balfour,low,very-profitable,low,low,low
Joey King,mid,profitable,mid,low,high
Amanda Seyfried,mid,not-profitable,mid,mid-low,mid
Jonah Hill,mid,profitable,mid,mid-high,high
Amy Poehler,mid,very-profitable,mid,mid-high,high
Sharni Vinson,low,very-profitable,high,mid-high,low
Stephen Spinella,low,not-profitable,low,mid-low,low
Kôji Yakusho,low,profitable,low,high,low
Bill Nighy,low,not-profitable,low,mid-high,low
Jenn Proske,low,very-profitable,low,low,low
Chace Crawford,low,not-profitable,low,mid-low,low
Patrick Fabian,low,very-profitable,low,mid-low,low
Juno Temple,low,not-profitable,low,mid-high,low
Garrett Hedlund,low,not-profitable,low,mid-low,low
Connor Paolo,low,not-profitable,low,mid-high,low
Robin Wright,low,not-profitable,low,mid-high,low
Max Thieriot,low,not-profitable,low,low,low
Danielle Harris,low,not-profitable,low,mid-low,low
David Hyde Pierce,low,not-profitable,low,mid-high,low
Chris Evans,mid,profitable,mid,high,mid
Chris Hemsworth,high,profitable,mid,mid-high,high
Michael Shannon,mid,not-profitable,low,mid-high,mid
Kristen Wiig,low,very-profitable,low,mid-high,low
Kristen Connolly,low,profitable,low,mid-high,low
Emily Browning,low,not-profitable,low,mid-low,low
Mila Kunis,mid,very-profitable,mid,mid-low,mid
Henry Cavill,mid,profitable,mid,mid-low,high
Justin Timberlake,low,profitable,mid,mid-high,mid
Elle Fanning,mid,profitable,mid,mid-high,mid
Bradley Cooper,high,very-profitable,high,mid-high,high
Jason Momoa,low,profitable,high,mid-low,high
Danny McBride,low,not-profitable,low,mid-low,low
Zoe Saldana,low,not-profitable,low,mid-high,low
Taylor Lautner,low,profitable,low,low,low
Payman Maadi,low,very-profitable,low,high,low
Jeremy Irvine,low,profitable,low,mid-high,low
Iko Uwais,low,very-profitable,high,high,low
Zachary Quinto,low,very-profitable,low,mid-high,low
Nicholas D'Agosto,low,profitable,low,mid-low,low
Alex Pettyfer,low,profitable,low,mid-low,mid
Kenny Wormald,low,profitable,low,mid-low,low
Topher Grace,low,not-profitable,low,mid-low,low
Sara Paxton,low,not-profitable,low,low,low
Gina Carano,low,not-profitable,low,mid-low,low
Jean Dujardin,low,very-profitable,low,high,low
Lucas Pittaway,low,not-profitable,low,mid-high,low
Nick Swardson,low,not-profitable,low,low,low
John Boyega,mid,not-profitable,low,mid-high,high
Brendan Gleeson,low,profitable,low,mid-high,low
Dominic Cooper,low,not-profitable,low,mid-high,low
Brit Marling,low,very-profitable,high,mid-high,low
Felicity Jones,mid,very-profitable,high,mid-high,mid
Elizabeth Olsen,low,very-profitable,high,mid-high,high
Minka Kelly,low,profitable,low,low,low
Selena Gomez,low,not-profitable,low,mid-low,low
Colin O'Donoghue,low,profitable,low,mid-low,low
Christopher Denham,low,profitable,low,mid-high,low
Thomas Horn,low,not-profitable,low,mid-high,low
Rhys Wakefield,low,profitable,low,mid-low,low
Michael Parks,low,not-profitable,low,mid-low,low
Sarah Bolger,low,profitable,low,high,low
Mark Duplass,low,very-profitable,high,mid-high,low
Alex Kendrick,low,very-profitable,high,mid-high,low
Warren Christie,low,very-profitable,low,low,low
Rhys Ifans,low,not-profitable,low,mid-high,low
Russell Brand,low,profitable,low,low,low
Taylor Schilling,low,not-profitable,mid,mid-low,low
Ranbir Kapoor,low,not-profitable,low,high,low
Anna Kendrick,mid,very-profitable,high,mid-low,mid
Mads Mikkelsen,low,profitable,mid,high,high
Noomi Rapace,low,profitable,low,mid-high,low
Jared Gilman,low,very-profitable,low,high,low
Jessica Chastain,mid,profitable,high,mid-high,mid
Andrew Garfield,mid,profitable,mid,mid-high,mid
Kelly Macdonald,low,profitable,low,mid-high,low
Taylor Kitsch,low,not-profitable,low,mid-high,low
Alexander Skarsgård,low,not-profitable,low,mid-low,low
Vanessa Hudgens,low,very-profitable,low,low,low
Danielle Panabaker,low,not-profitable,low,low,low
Benjamin Walker,low,not-profitable,low,mid-low,low
Thomas Mann,low,very-profitable,high,mid-high,high
Suraj Sharma,low,very-profitable,low,high,low
Julianne Hough,low,profitable,mid,mid-low,mid
Aubrey Plaza,low,very-profitable,mid,mid-high,high
Dane DeHaan,mid,very-profitable,high,mid-high,low
Jason Segel,low,profitable,low,mid-low,high
Sean Hayes,low,not-profitable,low,low,low
Ann Dowd,low,profitable,low,mid-high,low
Dax Shepard,low,very-profitable,low,mid-low,low
Alex Veadov,low,very-profitable,low,mid-high,low
Sam Riley,low,not-profitable,low,mid-low,low
Dylan O'Brien,mid,very-profitable,high,mid-high,low
Luke Evans,low,not-profitable,mid,mid-low,low
Lily Collins,mid,not-profitable,mid,mid-low,low
Ashley Hinshaw,low,not-profitable,low,low,low
Sheri Moon Zombie,low,not-profitable,low,low,low
Kathryn McCormick,low,very-profitable,low,mid-high,low
Paul Dano,low,not-profitable,low,mid-high,low
Natasha Calis,low,very-profitable,low,mid-low,low
Adelaide Clemens,low,profitable,low,low,low
Jean-Louis Trintignant,low,profitable,low,high,low
Quvenzhané Wallis,low,very-profitable,high,mid-low,high
Ashley Greene,low,not-profitable,low,low,low
Jonny Weston,low,not-profitable,low,mid-high,low
Josh Radnor,low,not-profitable,low,mid-high,low
Pål Sverre Hagen,low,not-profitable,low,mid-high,low
Stephen Dunham,low,very-profitable,low,low,low
John Magaro,low,not-profitable,low,mid-low,low
Jesse McCartney,low,very-profitable,low,low,low
Aamir Khan,low,not-profitable,low,mid-high,low
Ari Graynor,low,not-profitable,low,mid-low,low
Fernanda Andrade,low,very-profitable,low,low,low
Saif Ali Khan,low,not-profitable,low,mid-low,low
Victoria Justice,low,not-profitable,low,low,low
Peter Sarsgaard,low,not-profitable,low,mid-high,low
Domhnall Gleeson,low,very-profitable,low,high,low
Jason Sudeikis,mid,very-profitable,mid,mid-high,mid
Lorenza Izzo,low,profitable,low,low,low
Daniel Brühl,low,profitable,low,high,low
Jane Levy,low,very-profitable,low,mid-high,low
Emily Baldoni,low,profitable,low,mid-high,low
Alexandra Daddario,low,profitable,low,low,low
Nicholas Hoult,mid,not-profitable,mid,mid-high,mid
Karen Gillan,low,very-profitable,low,mid-high,low
Simon Rex,low,profitable,low,low,low
Oscar Isaac,mid,profitable,high,mid-high,mid
Chloë Grace Moretz,mid,profitable,mid,mid-low,high
Julia Louis-Dreyfus,low,profitable,low,mid-high,low
Gugu Mbatha-Raw,low,not-profitable,low,mid-high,low
Jaden Smith,low,not-profitable,low,low,low
Miles Teller,mid,very-profitable,high,mid-high,high
Chadwick Boseman,mid,profitable,mid,mid-high,low
Sophie Nélisse,low,profitable,low,mid-low,high
Katie Chang,low,profitable,low,mid-low,low
Hideaki Anno,low,very-profitable,low,high,low
Alice Englert,low,not-profitable,low,mid-low,low
Carlos Alazraqui,low,very-profitable,low,mid-low,low
Bill Hader,low,profitable,low,mid-high,low
Macon Blair,low,profitable,low,mid-high,low
Bruce Dern,low,profitable,low,high,low
Christoph Waltz,low,not-profitable,low,mid-low,low
Mark Strong,low,not-profitable,low,mid-high,low
Neil Patrick Harris,low,profitable,low,low,low
Michael B. Jordan,mid,very-profitable,high,high,low
Johnny Knoxville,low,very-profitable,high,mid-low,high
Amy Seimetz,low,very-profitable,low,mid-high,low
Liam Hemsworth,low,not-profitable,mid,mid-low,mid
Bérénice Bejo,low,not-profitable,low,high,low
Benedict Cumberbatch,mid,very-profitable,high,mid-high,high
Tiger Hu Chen,low,not-profitable,low,mid-low,low
Irrfan Khan,low,very-profitable,low,high,low
Chris Pratt,mid,very-profitable,high,mid-high,mid
Alicia Vikander,mid,not-profitable,mid,mid-high,high
Shailene Woodley,mid,very-profitable,high,mid-high,high
Jon Favreau,low,very-profitable,low,mid-high,low
Jemaine Clement,low,very-profitable,low,high,low
Frank Grillo,low,very-profitable,low,mid-low,low
Maika Monroe,low,very-profitable,low,mid-high,low
Brenton Thwaites,mid,not-profitable,mid,mid-low,mid
Sullivan Stapleton,low,profitable,low,mid-low,low
Ryan Potter,low,profitable,low,high,low
Jack O'Connell,low,profitable,low,mid-high,low
Perdita Weeks,low,very-profitable,low,mid-low,low
Ward Horton,low,very-profitable,low,low,low
Ellar Coltrane,low,very-profitable,low,high,low
Eddie Redmayne,mid,very-profitable,mid,mid-high,mid
Essie Davis,low,very-profitable,low,mid-high,low
Darío Grandinetti,low,very-profitable,low,high,low
Dan Stevens,low,not-profitable,low,mid-high,low
Joel Kinnaman,low,profitable,low,mid-low,low
Zoey Deutch,mid,profitable,mid,mid-low,mid
Rose Leslie,low,not-profitable,low,mid-low,low
Aaron Paul,low,profitable,low,mid-high,low
Seth MacFarlane,low,profitable,low,mid-low,low
Hugh Bonneville,low,very-profitable,low,mid-high,low
Richard Armitage,low,profitable,low,mid-low,low
Tom McGrath,low,profitable,low,mid-high,low
Heather Sossaman,low,very-profitable,low,mid-low,low
Gabriella Wilde,low,not-profitable,low,mid-low,low
Kit Harington,low,not-profitable,low,mid-low,mid
Kaitlyn Dever,low,profitable,mid,mid-high,mid
Jake Johnson,low,very-profitable,low,mid-high,low
Andy Powers,low,profitable,low,mid-low,low
Sharon Leal,low,profitable,low,low,low
David Oyelowo,mid,not-profitable,mid,mid-high,mid
Jon Hamm,low,not-profitable,low,mid-high,low
John Lloyd Young,low,not-profitable,low,mid-high,low
Kellan Lutz,low,not-profitable,low,low,low
Ryan Guzman,low,not-profitable,low,mid-low,low
Shane Harper,low,very-profitable,low,low,low
Ty Burrell,low,not-profitable,low,mid-high,low
Melissa McCarthy,mid,profitable,mid,mid-low,high
Christina Hendricks,low,profitable,high,mid-low,mid
Jared Harris,low,very-profitable,low,low,low
Taraji P. Henson,mid,very-profitable,high,mid-high,high
Sidse Babett Knudsen,low,not-profitable,low,mid-high,low
Olivia Cooke,low,very-profitable,high,mid-low,high
Kevin Hart,mid,profitable,low,mid-low,mid
Dakota Johnson,mid,very-profitable,high,low,high
Anya Taylor-Joy,low,very-profitable,low,mid-high,low
Brie Larson,mid,very-profitable,mid,mid-high,mid
Mark Ruffalo,low,very-profitable,low,high,low
Lily James,mid,profitable,mid,mid-high,mid
Daisy Ridley,mid,very-profitable,high,mid-high,mid
Melissa Rauch,low,not-profitable,low,mid-low,low
Jason Clarke,low,very-profitable,mid,mid-high,high
Olivia DeJonge,low,very-profitable,low,mid-low,low
Ed Helms,low,profitable,low,mid-low,low
Blake Lively,mid,profitable,high,mid-low,high
Jim Parsons,low,profitable,low,mid-high,low
Tom Hiddleston,low,not-profitable,mid,mid-low,mid
Amy Schumer,mid,profitable,mid,low,high
O'Shea Jackson Jr.,low,very-profitable,low,high,low
Lake Bell,low,profitable,low,mid-high,low
Edgar Ramírez,low,not-profitable,low,mid-low,high
Rupert Friend,low,profitable,low,mid-low,low
Adrian Grenier,low,not-profitable,low,mid-high,low
Tye Sheridan,low,profitable,mid,mid-high,high
Levi Miller,low,not-profitable,low,mid-low,low
Mae Whitman,low,very-profitable,low,mid-high,low
Bryan Cranston,low,not-profitable,low,mid-high,mid
Scott Eastwood,low,not-profitable,low,mid-high,low
Prabhas,low,not-profitable,low,high,low
Nat Wolff,low,very-profitable,low,mid-low,low
Abraham Attah,low,not-profitable,low,high,low
Bel Powley,low,not-profitable,low,mid-high,low
Kitana Kiki Rodriguez,low,very-profitable,low,mid-high,low
James Ransone,low,very-profitable,low,low,low
Ben Mendelsohn,low,not-profitable,low,mid-high,low
Taron Egerton,mid,profitable,mid,mid-high,high
Lily Tomlin,low,very-profitable,low,mid-high,low
Amy Landecker,low,profitable,low,mid-high,low
Shameik Moore,low,profitable,mid,high,high
