actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Lori Cardille,low,not-profitable,low,mid-high,low
William Katt,low,very-profitable,low,mid-low,low
Grant Bardsley,low,not-profitable,low,mid-high,low
Melanie Kinnaman,low,very-profitable,low,low,low
Jeffrey Combs,low,not-profitable,mid,mid-high,mid
Taimak,low,profitable,low,mid-high,low
Lauren Hutton,low,profitable,low,mid-low,low
Jeff Goldblum,mid,profitable,high,mid-low,high
John Cusack,high,not-profitable,mid,mid-high,mid
Mikhail Baryshnikov,low,profitable,low,mid-high,low
Nicholas Rowe,low,not-profitable,low,mid-high,low
Mickey Rourke,high,not-profitable,mid,mid-high,high
Bruno Lawrence,low,profitable,low,mid-high,low
Ken Ogata,low,not-profitable,low,high,low
Sally Field,mid,profitable,high,mid-low,mid
Kevin Costner,high,profitable,high,mid-high,mid
Richard Chamberlain,low,not-profitable,low,low,mid
Michael Dudikoff,mid,very-profitable,high,low,mid
Timothy Hutton,mid,not-profitable,low,mid-high,mid
Helen Shaver,low,not-profitable,low,mid-high,low
Mia Farrow,mid,profitable,mid,high,mid
Louise Lasser,low,not-profitable,low,mid-low,low
Sting,low,not-profitable,low,low,low
Raymond Burr,low,profitable,low,mid-low,low
Jackie Chan,high,profitable,high,mid-low,mid
Sheila E.,low,profitable,low,mid-high,low
John Erwin,low,profitable,low,mid-high,low
Joe Colligan,low,not-profitable,low,mid-high,low
Georgia Engel,low,very-profitable,low,mid-low,low
Daniel Jenkins,low,not-profitable,low,low,low
Mario Van Peebles,low,not-profitable,low,low,high
Sigourney Weaver,mid,profitable,mid,mid-high,high
Wil Wheaton,low,very-profitable,low,high,low
Paul Hogan,mid,very-profitable,high,mid-low,mid
David Bowie,low,not-profitable,low,high,low
Charlie Sheen,high,profitable,high,mid-low,high
Isabella Rossellini,low,not-profitable,low,high,low
Lea Thompson,low,not-profitable,low,low,low
Rick Moranis,mid,very-profitable,high,mid-low,high
Crispin Glover,low,not-profitable,mid,mid-high,mid
Ally Sheedy,mid,profitable,mid,mid-low,high
Joey Cramer,low,profitable,low,mid-high,low
Kathleen Turner,mid,not-profitable,mid,mid-low,high
Corey Haim,low,profitable,mid,mid-high,mid
Thom Mathews,low,very-profitable,low,mid-low,low
Rodney Dangerfield,low,very-profitable,low,mid-high,low
Dennis Hopper,low,not-profitable,low,mid-low,low
Gary Oldman,mid,profitable,mid,mid-high,high
Michael Rooker,low,very-profitable,low,mid-high,low
Jason Lively,low,not-profitable,low,mid-high,low
Kate Capshaw,low,not-profitable,low,mid-low,low
Vincent Price,low,not-profitable,mid,mid-high,low
Orson Welles,low,not-profitable,low,mid-high,low
Michael Moriarty,low,very-profitable,low,low,low
Jeff Daniels,mid,not-profitable,low,mid-high,low
Daryl Hannah,low,not-profitable,low,low,low
Tracy Camilla Johns,low,very-profitable,low,mid-high,low
Tom Waits,low,not-profitable,low,high,low
Karen Black,low,not-profitable,low,mid-low,low
Deborah Foreman,low,profitable,low,mid-low,low
Helena Bonham Carter,low,not-profitable,low,mid-high,low
John Candy,mid,profitable,high,mid-low,mid
Bryan Brown,mid,not-profitable,low,mid-low,mid
Brian Kerwin,low,not-profitable,low,low,low
Danny DeVito,mid,not-profitable,mid,mid-low,mid
Richard Jordan,low,not-profitable,low,low,low
John Lithgow,mid,profitable,mid,mid-low,low
Michael Keaton,high,profitable,high,mid-low,high
Stephen Lang,mid,very-profitable,high,mid-high,mid
Chris Makepeace,low,not-profitable,low,mid-low,low
Burt Lancaster,low,not-profitable,mid,mid-high,low
Todd Allen,low,profitable,low,mid-low,low
Blythe Danner,low,not-profitable,low,mid-high,low
Sissy Spacek,low,not-profitable,low,mid-low,low
Judd Nelson,low,not-profitable,low,low,high
Scott McGinnis,low,not-profitable,low,low,low
Mike Norris,low,not-profitable,low,low,low
Victor Love,low,not-profitable,low,mid-low,low
Cary Elwes,mid,very-profitable,high,mid-high,high
Elisabeth Shue,low,very-profitable,mid,mid-low,high
Adrian Pasdar,low,not-profitable,low,mid-high,low
Andrew McCarthy,low,very-profitable,high,low,high
Dolph Lundgren,mid,not-profitable,low,mid-low,mid
Christian Bale,high,profitable,mid,high,high
Lorraine Gary,low,profitable,low,low,low
Timothy Dalton,low,profitable,mid,mid-high,low
Lou Diamond Phillips,mid,very-profitable,high,mid-low,high
Andre Gower,low,not-profitable,low,mid-high,low
Donald Pleasence,mid,profitable,mid,mid-low,high
George Kennedy,low,very-profitable,low,mid-low,low
Hume Cronyn,low,profitable,low,mid-high,low
Jason Bateman,high,profitable,high,mid-low,high
Jim Varney,mid,very-profitable,mid,mid-low,low
Kim Basinger,mid,not-profitable,low,mid-low,mid
Anthony Newley,low,not-profitable,low,low,low
Casey Siemaszko,low,not-profitable,low,mid-high,low
David Paul,low,not-profitable,low,low,low
Martin Sheen,low,not-profitable,low,mid-low,low
Denzel Washington,high,profitable,mid,mid-high,mid
Madonna,mid,not-profitable,low,low,high
