director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Bille August,low,not-profitable,low,mid-high,mid
Rob Cohen,high,profitable,high,mid-low,high
Tom Stern,low,not-profitable,low,mid-high,low
Victor Nunez,low,profitable,mid,mid-high,low
Kaige Chen,low,not-profitable,low,high,low
Emir Kusturica,low,not-profitable,low,high,mid
Robert Klane,low,not-profitable,low,low,low
Stephen Sommers,mid,profitable,mid,mid-low,mid
Bruce Joel Rubin,low,not-profitable,low,mid-high,low
Tom Ropelewski,low,not-profitable,low,low,low
John Whitesell,mid,not-profitable,mid,low,mid
Mike Binder,mid,not-profitable,low,mid-high,high
Charles Grosvenor,low,not-profitable,low,mid-high,low
Richard Williams,low,not-profitable,low,mid-high,low
Woo-Ping Yuen,low,not-profitable,low,high,low
Christopher Coppola,low,not-profitable,low,low,low
Ang Lee,high,very-profitable,high,mid-high,high
Patrick Hasburgh,low,not-profitable,low,mid-low,low
Leon Ichaso,low,not-profitable,low,mid-low,low
Anthony Minghella,mid,profitable,high,mid-high,high
Ramón Menéndez,low,not-profitable,low,mid-low,low
Michael Steinberg,low,not-profitable,low,mid-low,low
Yves Simoneau,low,not-profitable,low,low,low
Stephen Cornwell,low,not-profitable,low,low,low
Rusty Cundieff,low,not-profitable,mid,mid-high,mid
Billy Weber,low,not-profitable,low,mid-low,low
Warren Leight,low,not-profitable,low,mid-low,low
Frank Darabont,mid,profitable,mid,high,high
Roger Allers,low,very-profitable,high,mid-high,high
Jan de Bont,mid,very-profitable,high,mid-low,high
Peter Farrelly,low,very-profitable,low,high,mid
Alex Proyas,mid,profitable,mid,mid-high,high
Mike Newell,mid,very-profitable,high,mid-high,mid
Tom Shadyac,mid,profitable,mid,mid-high,mid
Steven E. de Souza,low,profitable,low,low,low
Kevin Smith,high,very-profitable,high,mid-high,high
Duwayne Dunham,low,not-profitable,low,mid-high,low
David Carson,low,profitable,low,mid-high,low
Ben Stiller,mid,profitable,low,mid-low,high
Peter Segal,high,profitable,mid,mid-low,high
Kim Henkel,low,not-profitable,low,low,low
P.J. Hogan,mid,profitable,high,mid-high,mid
John Pasquin,mid,very-profitable,high,mid-low,high
Luis Llosa,low,profitable,low,low,mid
Pixote Hunt,low,not-profitable,low,mid-low,low
Danny Boyle,high,very-profitable,high,mid-high,mid
Jeremy Leven,low,profitable,low,mid-high,low
Paul Flaherty,low,not-profitable,low,mid-low,low
James Yukich,low,not-profitable,low,low,low
Hart Bochner,low,not-profitable,low,mid-high,low
Nicholas Hytner,mid,profitable,mid,mid-high,mid
Jeff Pollack,low,profitable,high,mid-low,high
Steven Seagal,low,not-profitable,low,low,low
David O. Russell,mid,very-profitable,high,mid-high,mid
Chia-Liang Liu,low,not-profitable,low,high,low
Richard Rich,low,not-profitable,low,mid-low,high
Doug McHenry,low,profitable,low,mid-high,low
Gregg Champion,low,not-profitable,low,mid-low,low
Martin Campbell,high,profitable,mid,mid-high,high
Andrew Morahan,low,not-profitable,low,low,low
Michele Soavi,low,not-profitable,low,mid-high,low
Adam Resnick,low,not-profitable,low,low,low
Allan A. Goldstein,low,not-profitable,low,low,low
Ted Demme,mid,not-profitable,low,mid-high,mid
Charles T. Kanganis,low,not-profitable,low,low,low
John Bailey,low,not-profitable,low,mid-low,low
James Gray,mid,not-profitable,low,mid-high,low
Boaz Yakin,mid,profitable,mid,mid-high,high
Rodman Flender,low,not-profitable,low,low,high
Glenn Gordon Caron,low,profitable,mid,mid-low,mid
George Huang,low,not-profitable,low,mid-high,high
Milcho Manchevski,low,not-profitable,low,high,low
Nikita Mikhalkov,low,not-profitable,low,high,low
Mel Smith,low,very-profitable,high,mid-low,low
Xavier Koller,low,not-profitable,low,mid-low,low
Mel Gibson,mid,very-profitable,high,high,mid
Bryan Singer,high,very-profitable,high,mid-high,high
Larry Clark,low,profitable,high,mid-high,mid
John Lasseter,mid,very-profitable,high,mid-high,high
Paul W.S. Anderson,high,profitable,mid,mid-low,mid
F. Gary Gray,high,profitable,mid,mid-high,high
Scott Kalvert,low,not-profitable,low,mid-high,high
Michael Bay,high,profitable,mid,mid-high,mid
Bryan Spicer,mid,not-profitable,mid,low,mid
Iain Softley,mid,not-profitable,low,mid-high,mid
Brad Silberling,mid,profitable,mid,mid-low,mid
Mike Gabriel,low,very-profitable,low,mid-high,low
Kevin Lima,mid,profitable,mid,mid-low,high
John N. Smith,low,very-profitable,low,mid-high,low
Chris Noonan,low,very-profitable,high,mid-high,low
Tim Robbins,low,not-profitable,mid,mid-high,mid
Betty Thomas,mid,profitable,mid,mid-low,high
Robert Longo,low,not-profitable,low,mid-low,low
Danny Cannon,mid,not-profitable,mid,mid-low,high
Marc Caro,low,not-profitable,low,high,low
Victor Salva,mid,profitable,mid,mid-high,high
Gregory Widen,low,profitable,low,mid-high,low
Steve Oedekerk,mid,profitable,mid,mid-low,mid
Holly Goldberg Sloan,low,not-profitable,low,mid-low,low
