primaryName,birthYear,deathYear,knownForTitle,primaryProfession,secondaryProfession
Andrew Adamson,1966.0,0.0,Shrek 2,producer,director
Andrew Bergman,1945.0,0.0,Striptease,writer,director
Andrew Davis,1946.0,0.0,The Fugitive,director,cinematographer
Andrew Dice Clay,1957.0,0.0,The Adventures of Ford Fairlane,actor,producer
Andrew Dominik,1967.0,0.0,Chopper,director,writer
Andrew Douglas,1983.0,0.0,One Hundred Million Throwaways,director,producer
Andrew Erwin,1978.0,0.0,American Underdog,producer,director
Andrew Fleming,1965.0,0.0,The Craft,director,producer
Andrew Garfield,1983.0,0.0,Hacksaw Ridge,actor,producer
Andrew Jay Cohen,1977.0,0.0,Neighbors 2: Sorority Rising,writer,producer
Andrew Lau,1960.0,0.0,Infernal Affairs,cinematographer,director
Andrew Lawrence,1988.0,0.0,United States of Tara,actor,director
Andrew Lowery,1970.0,0.0,Buffy the Vampire Slayer,actor,writer
Andrew McCarthy,1962.0,0.0,Orange Is the New Black,actor,director
Andrew Morahan,1958.0,0.0,Highlander 3,director,none
Andrew Niccol,1964.0,0.0,Gattaca,writer,director
Andrew Sipes,1975.0,0.0,Fair Game,director,none
Andrew Stanton,1965.0,0.0,WALL·E,writer,producer
Andrew V. McLaglen,1920.0,2014.0,The Wild Geese,director,assistant_director
Andrey Konchalovskiy,1937.0,0.0,The Postman's White Nights,writer,director
Andrzej Bartkowiak,1950.0,0.0,Romeo Must Die,cinematographer,director
André Øvredal,1973.0,0.0,Troll Hunter,director,writer
Andy Cadiff,1955.0,0.0,Spin City,director,producer
Andy Fickman,1963.0,0.0,Race to Witch Mountain,producer,director
Andy Garcia,1956.0,0.0,Ocean's Eleven,actor,producer
Andy Kaufman,1949.0,1984.0,Taxi,actor,writer
Andy Lau,1961.0,0.0,Infernal Affairs,actor,producer
Andy Muschietti,1973.0,0.0,Mama,producer,director
Andy Powers,1975.0,0.0,Clown,actor,none
Andy Samberg,1978.0,0.0,Popstar: Never Stop Never Stopping,actor,producer
Andy Serkis,1964.0,0.0,War for the Planet of the Apes,actor,producer
Andy Tennant,1955.0,0.0,Fool's Gold,producer,director
Andy Wilson,1958.0,0.0,Unforgotten: Building the Series,director,producer
Aneesh Chaganty,1991.0,0.0,Searching,director,writer
Ang Lee,1954.0,0.0,The Wedding Banquet,director,producer
Angela Bassett,1958.0,0.0,Strange Days,actor,producer
Angela Bettis,1973.0,0.0,May,actor,producer
Angela Robinson,1971.0,0.0,D.E.B.S.,producer,writer
Angelina Jolie,1975.0,0.0,Maleficent,actor,producer
Angourie Rice,2001.0,0.0,The Nice Guys,actor,producer
Angus Macfadyen,1963.0,0.0,Equilibrium,actor,writer
Anika Noni Rose,1972.0,0.0,The Princess and the Frog,actor,soundtrack
Anjelica Huston,1951.0,0.0,The Grifters,actor,producer
Ann Dowd,1956.0,0.0,Compliance,actor,soundtrack
Anna Boden,1979.0,0.0,Half Nelson,director,producer
Anna Chlumsky,1980.0,0.0,My Girl,actor,soundtrack
Anna Faris,1976.0,0.0,The House Bunny,actor,producer
Anna Foerster,1971.0,0.0,Underworld: Blood Wars,director,none
Anna Kendrick,1985.0,0.0,Up in the Air,actor,producer
Anna Paquin,1982.0,0.0,The Piano,actor,producer
AnnaSophia Robb,1993.0,0.0,Bridge to Terabithia,actor,soundtrack
Annabel Jankel,1955.0,0.0,Tell It to the Bees,director,producer
Annabella Sciorra,1960.0,0.0,The Hand That Rocks the Cradle,actor,producer
Annabeth Gish,1971.0,0.0,Mystic Pizza,actor,archive_footage
Anne Fletcher,1966.0,0.0,The Proposal,miscellaneous,director
Anne Fontaine,1959.0,0.0,The Innocents,actor,writer
Anne Hathaway,1982.0,0.0,Les Misérables,actor,producer
Anne Parillaud,1960.0,0.0,La Femme Nikita,actor,director
Anne Reid,1935.0,0.0,Hot Fuzz,actor,soundtrack
Annette Bening,1958.0,0.0,American Beauty,actor,producer
Ansel Elgort,1994.0,0.0,The Fault in Our Stars,actor,producer
Anthony Anderson,1970.0,0.0,The Departed,actor,producer
Anthony Drazan,1955.0,0.0,Zebrahead,director,writer
Anthony Edwards,1962.0,0.0,ER,actor,producer
Anthony Gonzalez,2004.0,0.0,Coco,actor,soundtrack
Anthony Hemingway,1977.0,0.0,Red Tails,director,none
Anthony Hickox,1959.0,2023.0,Hellraiser III: Hell on Earth,director,actor
Anthony Hopkins,1937.0,0.0,The Silence of the Lambs,actor,composer
Anthony LaPaglia,1959.0,0.0,Without a Trace,actor,producer
Anthony Mackie,1978.0,0.0,The Hurt Locker,actor,producer
Anthony Michael Hall,1968.0,0.0,War Machine,actor,producer
Anthony Minghella,1954.0,2008.0,The Talented Mr. Ripley,script_department,writer
Anthony Newley,1931.0,1999.0,Can Heironymus Merkin Ever Forget Mercy Humppe and Find True Happiness?,actor,writer
Anthony Perkins,1932.0,1992.0,Psycho,actor,director
Anthony Russo,1970.0,0.0,Everything Everywhere All at Once,producer,director
Anthony Waller,1959.0,0.0,An American Werewolf in Paris,producer,director
Antoine Fuqua,1965.0,0.0,The Magnificent Seven,producer,director
Anton Corbijn,1955.0,0.0,Control,director,actor
Anton Yelchin,1989.0,2016.0,Star Trek,actor,camera_department
Antonia Bird,1951.0,2013.0,Priest,director,producer
Antonio Banderas,1960.0,0.0,The Mask of Zorro,actor,producer
Antony Hoffman,1962.0,2007.0,Red Planet,director,none
Anya Taylor-Joy,1996.0,0.0,The Queen's Gambit,actor,soundtrack
Ari Aster,1986.0,0.0,Hereditary,director,producer
Ari Folman,1962.0,0.0,The Congress,writer,director
Ari Graynor,1983.0,0.0,Nick and Norah's Infinite Playlist,actor,producer
Ari Sandel,1974.0,0.0,When We First Met,director,none
Arie Posin,1970.0,0.0,The Chumscrubber,director,writer
Ariel Vromen,1973.0,0.0,The Iceman,director,producer
Arlene Sanford,1960.0,0.0,I'll Be Home for Christmas,director,none
Armand Assante,1949.0,0.0,Gotti,actor,producer
Armando Iannucci,1963.0,0.0,The Death of Stalin,writer,producer
Arna Selznick,1950.0,0.0,The Care Bears Movie,director,none
Arne Glimcher,1938.0,0.0,Just Cause,producer,director
Arnold Schwarzenegger,1947.0,0.0,Terminator 2: Judgment Day,actor,producer
Arthur Hiller,1923.0,2016.0,Love Story,director,producer
Asa Butterfield,1997.0,0.0,Hugo,actor,archive_footage
Asger Leth,1970.0,0.0,Man on a Ledge,director,none
Asghar Farhadi,1972.0,0.0,The Salesman,writer,director
Ash Brannon,1969.0,0.0,Arcane,writer,producer
Ashley Bratcher,1986.0,0.0,Untitled Frances Kelsey Biopic,actor,producer
Ashley Greene,1987.0,0.0,Twilight,actor,miscellaneous
Ashley Hinshaw,1988.0,0.0,Chronicle,actor,director
Ashley Judd,1968.0,0.0,Double Jeopardy,actor,producer
Ashley Tisdale,1985.0,0.0,Phineas and Ferb,actor,producer
Ashton Kutcher,1978.0,0.0,That '70s Show,actor,producer
Ate de Jong,1953.0,0.0,The Rotterdam Bombing,director,writer
Atom Egoyan,1960.0,0.0,The Sweet Hereafter,director,writer
Aubrey Peeples,1993.0,0.0,Jem and the Holograms,actor,director
Aubrey Plaza,1984.0,0.0,Safety Not Guaranteed,actor,producer
Audrey Tautou,1976.0,0.0,Amélie,actor,make_up_department
Audrey Wells,1960.0,2018.0,The Hate U Give,writer,script_department
Auli'i Cravalho,2000.0,0.0,Moana,actor,producer
Ava DuVernay,1972.0,0.0,Queen Sugar,writer,producer
Ayushmann Khurrana,1984.0,0.0,Andhadhun,actor,music_department
Babak Najafi,1975.0,0.0,Sebbe,director,writer
Baltasar Kormákur,1966.0,0.0,Jar City,producer,writer
Baran bo Odar,1978.0,0.0,Who Am I,writer,director
Barbara Hershey,1948.0,0.0,Black Swan,actor,soundtrack
Barbet Schroeder,1941.0,0.0,Our Lady of the Assassins,director,producer
Barbra Streisand,1942.0,0.0,Yentl,music_artist,actor
Barney Clark,1993.0,0.0,Oliver Twist,actor,camera_department
Barry Bostwick,1945.0,0.0,The Rocky Horror Picture Show,actor,producer
Barry Jenkins,1979.0,0.0,If Beale Street Could Talk,producer,director
Barry Levinson,1942.0,0.0,Rain Man,producer,writer
Barry Sonnenfeld,1953.0,0.0,Men in Black,producer,director
Barry Watson,1974.0,0.0,7th Heaven,actor,miscellaneous
Bart Freundlich,1970.0,0.0,The Myth of Fingerprints,director,writer
Baz Luhrmann,1962.0,0.0,Moulin Rouge!,writer,producer
Beeban Kidron,1961.0,0.0,Oranges Are Not the Only Fruit,director,producer
Bel Powley,1992.0,0.0,The Diary of a Teenage Girl,actor,producer
Bella Thorne,1997.0,0.0,The DUFF,actor,director
Ben Affleck,1972.0,0.0,Argo,producer,actor
Ben Barnes,1981.0,0.0,The Chronicles of Narnia: Prince Caspian,actor,soundtrack
Ben Burtt,1948.0,0.0,WALL·E,sound_department,miscellaneous
Ben Cross,1947.0,2020.0,Star Trek,actor,producer
Ben Falcone,1973.0,0.0,Tammy,actor,producer
Ben Foster,1980.0,0.0,Hell or High Water,actor,producer
Ben Kingsley,1943.0,0.0,Sexy Beast,actor,producer
Ben Lewin,1946.0,0.0,The Sessions,writer,director
Ben Mendelsohn,1969.0,0.0,Rogue One: A Star Wars Story,actor,producer
Ben Schwartz,1981.0,0.0,Parks and Recreation,actor,writer
Ben Stiller,1965.0,0.0,Tropic Thunder,producer,actor
Ben Whishaw,1980.0,0.0,Skyfall,actor,producer
Ben Younger,1972.0,0.0,Boiler Room,director,producer
